"SamplingEvent","Date","Julian","Year","Month","TideSeries","Site","SetNumber","SetDuration","Net","NetReclass","Agonidae spp.","Ammodytes sp.","Artedius sp.","Blepsias sp.","Clinocottus sp.","Clupea sp.","Enophrys sp.","Gadus sp.","Gasterosteus sp.","Gymnocanthus sp.","Hexagrammidae sp. (non-Ophiodon)","Hypomesus sp.","Lepidopsetta sp.","Leptocottus sp.","Limanda sp.","Liparidae sp.","Lumpenus sp.","Lyopsetta sp.","Mallotus sp.","Myoxocephalus sp.","Oligocottus sp.","Oncorhynchus sp.","Ophiodon sp.","Pholis sp.","Platichthys sp.","Pleuronectes sp.","Salvelinus sp.","Stichaeus sp.","Thaleichthys sp.","Trichodon sp.","TotalN","SppRichness"
"2013-07-11 CC Bergstrom",2013-07-11,192,2013,7,"Jul_1","CC",8,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.333333333333333,0,0.333333333333333,0,0,0,0.833333333333333,0.5
"2013-07-11 CC Bergstrom",2013-07-11,192,2013,7,"Jul_1","CC",9,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,1.16666666666667,0,0.166666666666667,0,0,0,1.66666666666667,0.5
"2013-07-11 CC Bergstrom",2013-07-11,192,2013,7,"Jul_1","CC",10,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.166666666666667
"2013-08-22 BB Bergstrom",2013-08-22,234,2013,8,"Aug_2","BB",11,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0.166666666666667
"2014-05-30 BB Bergstrom",2014-05-30,150,2014,5,"May_2","BB",12,6,"Bergstrom","White",0,0,0,0,0,14.5,0,0,0,0,0.166666666666667,0,0.5,2.66666666666667,12.3333333333333,0,0.166666666666667,0,0,0,0,1.5,0,0,2.83333333333333,0,9,0,3.33333333333333,0,47,1.66666666666667
"2014-06-16 BB Bergstrom",2014-06-16,167,2014,6,"Jun_1","BB",13,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,9.33333333333333,0,0.333333333333333,0,4.16666666666667,0,0,0.166666666666667,0,0,4.5,0,2.33333333333333,0,0,0,25.3333333333333,1.16666666666667
"2014-06-19 CC Bergstrom",2014-06-19,170,2014,6,"Jun_1","CC",16,6,"Bergstrom","White",0.333333333333333,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0.166666666666667,0,0,0,0,0,2,0,0.166666666666667,0,0.166666666666667,0.5,0,3.83333333333333,0,0,0,7.33333333333333,1.33333333333333
"2014-06-19 CC Bergstrom",2014-06-19,170,2014,6,"Jun_1","CC",15,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,1.33333333333333,0,0.166666666666667,0,0.166666666666667,1.33333333333333,0,0,0,0,0,3.33333333333333,0.833333333333333
"2014-06-19 CC Bergstrom",2014-06-19,170,2014,6,"Jun_1","CC",14,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,0,1.16666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,1.83333333333333,0.5
"2014-06-27 SaC Bergstrom",2014-06-27,178,2014,6,"Jun_2","SaC",17,6,"Bergstrom","White",0,0,0,0.666666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0.166666666666667,0,0,0.666666666666667,0,0,0,0,0,1.16666666666667,0,0,0,0.166666666666667,1.83333333333333,0,2.83333333333333,0,0,0,7.83333333333333,1.5
"2014-06-27 SaC Bergstrom",2014-06-27,178,2014,6,"Jun_2","SaC",18,6,"Bergstrom","White",0.166666666666667,0,0,0,0.166666666666667,0,0,0,0,0,0.166666666666667,0,0.166666666666667,3.5,0,0,0,0,0,0.666666666666667,0,0.166666666666667,0,4.83333333333333,1.5,0,0.833333333333333,0,0,0,12.1666666666667,1.66666666666667
"2014-06-28 CC Bergstrom",2014-06-28,179,2014,6,"Jun_2","CC",19,6,"Bergstrom","White",6.33333333333333,0,0,0.5,0,0,0,0,0,0,0.166666666666667,0,0.666666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,0,0,4.66666666666667,0,0,0,0.166666666666667,1,0,11.5,0,0,0,25.8333333333333,1.83333333333333
"2014-07-11 SaC Bergstrom",2014-07-11,192,2014,7,"Jul_1","SaC",21,6,"Bergstrom","White",0.166666666666667,0,0,1,0,0,0,0,0,0,0.166666666666667,0,0,0.666666666666667,0,0,0,0,0,2.5,0,0,0,3.5,3.16666666666667,0,0.666666666666667,0,0,0,11.8333333333333,1.33333333333333
"2014-07-11 SaC Bergstrom",2014-07-11,192,2014,7,"Jul_1","SaC",20,6,"Bergstrom","White",0,0,0,1.16666666666667,0,0,0,0,0,0,0,0,0,0.5,0.166666666666667,0,0,0,0,0.833333333333333,0,0,0,0.5,1.33333333333333,0,0.166666666666667,0,0,0,4.66666666666667,1.16666666666667
"2015-06-05 ER Bergstrom",2015-06-05,156,2015,6,"Jun_1","ER",22,6,"Bergstrom","White",0,0,0,0,0,0,0,0,0,0,0,0,2.16666666666667,2.5,0.833333333333333,0,0.166666666666667,0,10.6666666666667,0,0,1.16666666666667,0,0.166666666666667,8,0,0,0,0,0,25.6666666666667,1.33333333333333
"2015-06-18 CC Bergstrom",2015-06-18,169,2015,6,"Jun_1","CC",24,6,"Bergstrom","White",0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0.333333333333333,0,0,2.5,0,0,0.833333333333333,0,0,0,0.166666666666667,1.33333333333333,0,1,0,0,0,6.33333333333333,1.16666666666667
