LingID,Site
1,SJC
2,WSJ
3,NSJ
4,NSJ
5,SJC
6,NSJ
7,WSJ
8,WSJ
10,SJC
11,WSJ
12,SJC
15,SJC
16,NSJ
18,NSJ
19,NSJ
20,WSJ
21,WSJ
22,SJC
23,SJC
24,SJC
25,WSJ
26,SJC
27,SJC
30,WSJ
31,WSJ
32,NSJ
33,WSJ
35,NSJ
36,NSJ
37,NSJ
38,NSJ
39,SJC
40,WSJ
42,NSJ
43,SJC
44,WSJ
45,NSJ
46,NSJ
47,NSJ
48,WSJ
50,NSJ
51,WSJ
52,NSJ
53,NSJ
54,NSJ
55,SJC
56,SJC
57,SJC
58,NSJ
59,NSJ
60,SJC
61,NSJ
62,WSJ
63,WSJ
64,NSJ
65,SJC
66,WSJ
67,SJC
68,SJC
69,WSJ
70,NSJ
71,WSJ
72,WSJ
73,SJC
74,NSJ
75,SJC
76,SJC
77,WSJ
78,WSJ
93,WSJ
98,NSJ
100,NSJ
102,SJC
105,NSJ
107,NSJ
108,WSJ
110,SJC
113,SJC
114,SJC
115,WSJ
117,NSJ
118,NSJ
120,NSJ
121,WSJ
122,NSJ
128,SJC
131,WSJ
132,NSJ
134,SJC
135,WSJ
137,NSJ
138,SJC
139,NSJ
142,SJC
145,NSJ
153,NSJ
154,NSJ
156,SJC
165,NSJ
166,NSJ
167,NSJ
169,WSJ
170,SJC
172,WSJ
173,SJC
174,WSJ
179,NSJ
182,WSJ
191,NSJ
198,SJC
199,SJC
202,SJC
208,SJC
209,SJC
211,SJC
212,NSJ
226,SJC
228,NSJ
229,NSJ
230,SJC
231,NSJ
233,SJC
240,WSJ
247,SJC
248,SJC
249,NSJ
250,WSJ
251,WSJ
255,WSJ
256,SJC
258,SJC
260,SJC
264,WSJ
265,SJC
268,SJC
270,WSJ
271,SJC
272,WSJ
274,SJC
276,SJC
277,SJC
278,WSJ
279,SJC
281,SJC
287,SJC
289,NSJ
294,WSJ
296,NSJ
297,SJC
298,NSJ
299,NSJ
300,WSJ
305,NSJ
307,SJC
314,NSJ
316,WSJ
321,SJC
322,NSJ
323,NSJ
324,WSJ
327,SJC
330,WSJ
331,WSJ
