"Year","uniqueID","Haul_Join","RLAT","RLONG","GEAR_DEPTH","MHW","STATIONID","GEAR_TEMP","PRED_LEN","Pred_common","Euphausiacea","Copepoda","Larvacea","Gammaridea","Hyperiidea","Arrowtooth flounder","Empty","Misc Shrimp","Paguridae","Polychaeta","Mysidacea","Pandalidae","Misc Amphipoda","Crangonidae","Misc Gadidae","Osmerid","Misc Teleost","Walleyepollock","Hippolytidae (shrimp)","Chaetognatha","Cumacea","Pteropoda","Ammodytidae","Misc Flatfish","Cottid","Cyclopteridae","Misc Cephalopoda","Teuthida","Stichaeidae","Cancridea","Zoarcoidae","Bivalvia","Octopoda","Misc Majidae","TannerCrab","Flathead sole","Misc Crustacea","Misc Crab","Unid Eggs","Sand Dollar","Gastropod","Misc Org","Myctophidae","Sebastes","Isopoda","Misc Worm","Misc Invert","Bathylagid","Misc Echinoderm","Misc Decapoda","Misc Brachyura","Misc Anomura","Capreillidea","Clupeoidei","Misc Lithodidae","Cnidaria","Atka Mackeral","Pacific sandfish","Misc Mollusca","Ctenophora","Pacific halibut","Fish Eggs","Misc Non-teleost fish","Agonidae","Sebastelobus","Tunicate","Chionoecetes spp.","Brittle Star","Southern rock sole","Misc Bird","Pacific Cod","Sea Urchin","Salmonidae","Lepidopsetta sp","Sea Cucumber","Rajadae","Sablefish","Offal","Unid Rockfish","Yellowfin sole","Pholidae","Misc","Kamchatka flounder","Opilio Crab","Northern rock sole","Misc Hexagrammidae","Red King Crab","Macrouridae","forage"
"1990","ID1919900111187910304019",19199001111,54.99,-158.14,135,"Pre","144-65",4.9,50,"Pacific cod",1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990","ID19199001111879103040110",19199001111,54.99,-158.14,135,"Pre","144-65",4.9,58,"Pacific cod",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990","ID19199001111879103040111",19199001111,54.99,-158.14,135,"Pre","144-65",4.9,54,"Pacific cod",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990","ID19199001111879103040112",19199001111,54.99,-158.14,135,"Pre","144-65",4.9,52,"Pacific cod",1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990","ID1919900113087910304016",19199001130,56.25,-158.17,112,"Pre","143-94",5.4,51,"Pacific cod",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990","ID1919900113087910304017",19199001130,56.25,-158.17,112,"Pre","143-94",5.4,63,"Pacific cod",0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1990","ID1919900199879103040151",1919900199,55.73,-159.8,128,"Pre","124-82",3.1,52,"Pacific cod",0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009","ID9420090110687910304011",94200901106,55.44,-156.07,184,"Pre","169-75",4.9,42,"Pacific cod",0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009","ID9420090110687910304012",94200901106,55.44,-156.07,184,"Pre","169-75",4.9,49,"Pacific cod",0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2009","ID9420090110687910304013",94200901106,55.44,-156.07,184,"Pre","169-75",4.9,58,"Pacific cod",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
