Prey_Name,Prey_Name_Clean,taxonomic_rank,descriptive,commercial_species,stock_groupings,gam_grouping,sable_group,atka_group,POP_grouping,flathead_groupings,srs_groupings
Agonidae,Agonidae,family,"aligator fiss, starsnout, hooknoses, rockhead",,other fish,other,other fish,other,other fish,other fish,other fish
Ammodytidae,Ammodytidae,family,sand lance,Forage,forage fish,other,forage fish,other,other fish,forage fish,forage fish
Misc Amphipoda,Amphipoda,order,amphipod,,zooplankton,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
Misc Worm,Annelida,phylum,worms,,benthic invertebrate,other,benthic invertebrate,other,benthic invertebrate,benthic invertebrate,benthic invertebrate
Misc Anomura,Anomura,infraorder,infraorder of decapods (hermits) outdated?,,Arthropoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Sablefish,Anoplopoma fimbria,species,sablefish,Target,other fish,other,other fish,other,other fish,other fish,other fish
Larvacea,Appendicularia,class,larvae,,zooplankton,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
Kamchatka flounder,Atheresthes evermanni,species,flatfish,Target?,flatfish,other,other fish,other,other fish,other fish,flatfish
Arrowtooth flounder,Atheresthes stomias,species,A flounder (flatfish),Target,flatfish,other,other fish,other,other fish,other fish,flatfish
Misc Bird,Aves,Class,bird,,other,other,other,other,other,other,other
Bathylagid,Bathylagidae,family,deep sea smelt,Forage,forage fish,other,forage fish,other,other fish,forage fish,forage fish
Bivalvia,Bivalvia,class,clam class,,other,other,other,other,other,Bivalvia,Bivalvia
Cancridea,Brachyura,infraorder,crabs ,,Arthropoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Misc Brachyura,Brachyura,infraorder,true crabs includes snow and dungeness,,Arthropoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Misc Crab,Brachyura,infraorder,crab,,Arthropoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Capreillidea,Caprellidae,family,skeleton shrimp,,Arthropoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Misc Shrimp,Caridea,infraorder,shrimp,,Arthropoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Misc Cephalopoda,Cephalopoda,class,cephalopods,,other,other,other,other,other,other,other
Chaetognatha,Chaetognatha,phylum,predatory marine worm,,benthic invertebrate,other,benthic invertebrate,other,benthic invertebrate,benthic invertebrate,benthic invertebrate
Tanner Crab,Chionoecetes bairdi,species,tanner crab,,commercial crab,Tanner crab,Arthropoda,other,arthropoda,commercial crab,Arthropoda
Opilio Crab,Chionoecetes opilio,species,snow crabs,,commercial crab,other,Arthropoda,other,arthropoda,commercial crab,Arthropoda
Chionoecetes spp.,Chionoecetes sp.,genus,snow crabs,,commercial crab,other,Arthropoda,other,arthropoda,commercial crab,Arthropoda
Clupeoidei,Clupeoidei,suborder,herring?,Forage ,forage fish,Clupeidei,forage fish,other,other fish,forage fish,forage fish
Sand Dollar,Clypeasteroida,order,sand dollar,,other,other,other,other,other,other,other
Cnidaria,Cnidaria,phylum,jellyfish phylum,,other,other,jellyfish,other,other,other,other
Copepoda,Copepoda,subclass,copepod,,copepod,other,zooplankton,copepod,copepod,zooplankton,zooplankton
Cottid,Cottidae,family,sculpin family,Ecosystem Component,other fish,other,other fish,other,other fish,other fish,other fish
Crangonidae (shrimp),Crangonidae,family,Alaska Bay Shrimp,,Arthropoda,other,Arthropoda,other,Arthropoda,Crangonidae,Arthropoda
Misc Crustacea,Crustacea,subphylum,crustaceans,,Arthropoda,other,Arthropoda,other,Arthropoda,Arthropoda,Arthropoda
Ctenophora,Ctenophora sp.,Genus,comb jellies,,other,other,other,other,other,other,other
Cumacea,Cumacea,order,small hooded shrimp but not really shrimp?,,zooplankton,other,zooplankton,zooplankton,zooplankton,zooplankton,zooplankton
