"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-0.69962760484049,"+","+","+","+","+",42,-1330.47976015159,2744.99879471797,0,0.528747556590326
-0.732301628692433,"+","+",NA,"+","+",41,-1331.48064583256,2745.2366348302,0.237840112237791,0.469463734627559
-0.71776656742089,"+",NA,"+","+","+",39,-1338.72690613375,2756.39527590768,11.3964811897122,0.00177228648858394
-0.787284742019287,"+",NA,NA,"+","+",38,-1344.24862161843,2765.92459963147,20.9258049135055,1.5110108115289e-05
-0.591936169269172,NA,"+",NA,"+","+",37,-1348.31473650824,2772.18740978091,27.1886150629421,6.59653129655832e-07
-0.561225495298269,NA,"+","+","+","+",38,-1347.44679709043,2772.21285097858,27.2140562606191,6.5131509167275e-07
-0.624867043712426,NA,NA,"+","+","+",36,-1356.34255404976,2784.79768875586,39.7988940378968,1.20511457843437e-09
-0.715107450474855,NA,NA,NA,"+","+",35,-1361.69406296764,2794.0032981597,49.0045034417308,1.2079686320519e-11
-0.220008274597829,"+","+","+",NA,"+",24,-1434.18712348149,2916.9310170019,171.932222283932,2.44703777612067e-38
-1.92576654781201,"+","+","+","+",NA,29,-1432.1941347486,2922.41409554921,177.415300831244,1.5776305056226e-39
-1.92025939451334,"+","+",NA,"+",NA,27,-1436.70995570257,2928.89978907262,183.90099435465,6.16105152872746e-41
-0.228812220996037,"+",NA,"+",NA,"+",20,-1446.83356837888,2934.93826064959,189.939465931625,3.00896681859031e-42
-0.0569738309801905,NA,"+","+",NA,"+",21,-1447.59594310448,2937.98664487342,192.987850155454,6.55343769749158e-43
-1.82089283063249,NA,"+","+","+",NA,25,-1446.47077797362,2944.2788418816,199.280047163633,2.81926535946592e-44
-1.85439666724182,"+",NA,NA,"+",NA,25,-1446.95545354053,2944.30743597571,199.308641257741,2.77924495843858e-44
-1.8501906736853,"+",NA,"+","+",NA,26,-1446.17507215004,2944.94987271096,199.951077992999,2.01568870382356e-44
-1.81284020584544,NA,"+",NA,"+",NA,24,-1450.61002875701,2950.06237835326,205.063583635292,1.56407281406645e-45
-0.0910671308419219,NA,NA,"+",NA,"+",17,-1461.1087495726,2957.44604518041,212.447250462444,3.89864855904215e-47
-1.79342097991514,NA,NA,NA,"+",NA,21,-1461.40079489014,2966.49520769937,221.496412981408,4.22584354400283e-49
-1.79442233558581,NA,NA,"+","+",NA,22,-1460.80797817277,2967.47256821396,222.473773495992,2.59228218173412e-49
-0.300776441878806,"+","+",NA,NA,"+",22,-1478.1217562261,3000.25090201398,255.252107296019,1.97677630666494e-56
-0.126160947033175,NA,"+",NA,NA,"+",19,-1491.41706375747,3021.04576382213,276.04696910416,6.03129622797969e-61
-0.360132496407169,"+",NA,NA,NA,"+",18,-1498.85145652515,3033.7029130503,288.704118332337,1.07633044834426e-63
-0.230523658611767,NA,NA,NA,NA,"+",14,-1512.91222748649,3055.82445497298,310.825660255016,1.69166292823817e-68
-1.76841392875929,"+","+","+",NA,NA,8,-1566.17424699867,3149.4976829262,404.498888208235,7.7166860413152e-89
-1.63537538360821,NA,"+","+",NA,NA,5,-1577.195580194,3165.7618130306,420.763018312631,2.26840111659928e-92
-1.72235914052025,"+",NA,"+",NA,NA,5,-1579.3940106678,3168.79132805033,423.792533332369,4.98734055370889e-93
-1.75087428486051,"+","+",NA,NA,NA,7,-1578.26152602724,3172.11647456501,427.117679847043,9.45850794568438e-94
-1.61414103202726,NA,NA,"+",NA,NA,2,-1590.95072402007,3185.94061030926,440.941815591293,9.41780507970938e-97
-1.61875063079661,NA,"+",NA,NA,NA,4,-1589.96024024019,3189.66273951264,444.663944794675,1.46453451290361e-97
-1.68938505892468,"+",NA,NA,NA,NA,4,-1595.38232086153,3198.76464172305,453.765847005088,1.54613231846897e-99
-1.59291418460329,NA,NA,NA,NA,NA,0,-1607.61226579271,3217.22453158543,472.225736867463,1.51611626300632e-103
