"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-1.96921920092329,"+","+",NA,"+","+",47,-1355.76223081176,2805.9902588552,0,0.665324970556837
-1.98103554061202,"+","+","+","+","+",48,-1354.87573808462,2807.38102048003,1.39076162483298,0.33192026898139
-2.00920815589392,"+",NA,"+","+","+",45,-1363.0400971052,2816.99508774098,11.0048288857793,0.00271247406066215
-1.93520062566211,"+",NA,NA,"+","+",43,-1369.18290077224,2825.31738951555,19.3271306603542,4.22864011109695e-05
-1.84887098762664,"+","+","+",NA,"+",22,-1446.48459047135,2937.91140466542,131.921145810215,1.50217658282034e-29
-1.86873202552341,"+","+",NA,NA,"+",21,-1448.80866447011,2940.67391056289,134.683651707688,3.77442199026521e-30
-1.77298618745986,"+",NA,"+",NA,"+",19,-1469.55230032036,2978.96074315867,172.970484303473,1.83218950386406e-38
-1.76265828164852,"+",NA,NA,NA,"+",17,-1472.73268783065,2981.46537566129,175.475116806093,5.23716616354696e-39
-0.899635519395347,NA,"+",NA,"+","+",44,-1458.92216138456,3007.3738844717,201.3836256165,1.23918214722985e-44
-0.911916049523995,NA,"+","+","+","+",45,-1458.78614674834,3009.01798054107,203.027721685872,5.44658420950302e-45
-0.899938322743017,NA,NA,"+","+","+",43,-1471.0479629741,3028.16170778072,222.171448925524,3.7941689971443e-49
-0.776097282650004,NA,NA,NA,"+","+",41,-1480.5832446841,3043.41956271598,237.429303860776,1.84465676534294e-52
-2.69358528759012,"+","+","+","+",NA,36,-1485.54732569384,3044.15387975806,238.163620902856,1.27779342562734e-52
-2.68881780611697,"+","+",NA,"+",NA,34,-1490.28525283035,3048.65103322436,242.660774369158,1.34870256037905e-53
-2.69752142315216,"+",NA,"+","+",NA,32,-1497.04628120722,3059.69632571951,253.706066864311,5.38841940101077e-56
-2.70159761923949,"+",NA,NA,"+",NA,30,-1512.23636483107,3084.6802657638,278.690006908599,2.02426675396061e-61
-0.778974027807926,NA,"+","+",NA,"+",19,-1556.49646721252,3151.46218782513,345.471928969933,6.37907372355e-76
-0.794058785655757,NA,"+",NA,NA,"+",18,-1558.80017353759,3154.31845671487,348.32819785967,1.52941981491771e-76
-2.56127232260991,"+","+",NA,NA,NA,7,-1596.0879910965,3207.04240242753,401.052143572328,5.44085771778976e-88
-2.56135499962242,"+","+","+",NA,NA,8,-1595.98757826865,3208.80111690563,402.810858050428,2.25822583923209e-88
-0.596633158087536,NA,NA,"+",NA,"+",16,-1592.08545505671,3218.07007521234,412.079816357139,2.19300009056536e-90
-0.572519192771284,NA,NA,NA,NA,"+",15,-1595.15382147866,3220.30764295732,414.317384102123,7.16402326180922e-91
-1.59947015620447,NA,"+","+","+",NA,33,-1588.71089884508,3244.90247336362,438.912214508417,3.26931993737513e-96
-1.59452572460269,NA,"+",NA,"+",NA,31,-1592.75412913476,3248.32818560285,442.337926747648,5.89621704489626e-97
-2.57675564768481,"+",NA,"+",NA,NA,6,-1619.58526349017,3252.28377897632,446.293520121121,8.15881854788134e-98
-2.57647384331364,"+",NA,NA,NA,NA,3,-1628.91460320156,3265.82920640311,459.838947547914,9.33845609522696e-101
-1.58476962155791,NA,NA,"+","+",NA,30,-1604.46471015013,3269.45673184498,463.466472989779,1.52253729675294e-101
-1.56564844757361,NA,NA,NA,"+",NA,27,-1623.30346864595,3301.72012350063,495.729864645434,1.50197069196528e-108
-1.45770965670853,NA,"+",NA,NA,NA,4,-1707.59254998654,3423.33189375985,617.341634904652,5.87490812557982e-135
-1.45770727795357,NA,"+","+",NA,NA,5,-1707.59437698007,3425.30161779799,619.311358942794,2.19422388890542e-135
-1.42073959981972,NA,NA,"+",NA,NA,3,-1742.14131928146,3491.34625615666,685.355997301462,9.99700570058877e-150
-1.41084638605359,NA,NA,NA,NA,NA,0,-1751.6243243864,3505.24864877279,699.25838991759,9.57202315552478e-153
