"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-4.71911483921488,"+",NA,"+","+","+",32,-413.214454380572,891.086427539454,0,0.425061298632037
-4.78356438144623,"+",NA,NA,"+","+",30,-415.387084974525,892.186090591327,1.09966305187288,0.245280355543284
-4.73089993417017,"+","+","+","+","+",33,-412.931474980098,892.387823790236,1.30139625078209,0.221746594837273
-4.76323626599456,"+","+",NA,"+","+",31,-415.577469078827,893.828266775433,2.74183923597866,0.107911750987158
-6.67350689941758,"+",NA,"+","+",NA,18,-455.514509456523,948.410536703104,57.32410916365,1.51593095003847e-13
-6.66292885121643,"+","+","+","+",NA,19,-455.205205640507,949.688543851421,58.6021163119666,8.00135784218618e-14
-6.6296797878124,"+",NA,NA,"+",NA,17,-459.133535387327,953.456135786989,62.3697082475353,1.21630222111659e-14
-6.64028700495585,"+","+",NA,"+",NA,18,-459.175170129178,955.244531637559,64.1581040981049,4.9738911307482e-15
-1.95406897690096,NA,NA,"+","+","+",30,-455.973478479046,973.171308673364,82.0848811339098,6.36716497438182e-19
-1.96219557366016,NA,NA,NA,"+","+",28,-458.494743758564,974.666768519703,83.5803409802493,3.01447108937177e-19
-1.95337009683221,NA,"+","+","+","+",31,-456.010615681286,975.064781412842,83.9783538733882,2.47049353349033e-19
-1.98040549219802,NA,"+",NA,"+","+",29,-458.192252536624,976.355209473083,85.268781933629,1.29589802664429e-19
-4.23653674266545,"+","+","+",NA,"+",22,-466.804637371398,978.674366329654,87.5879387901997,4.06417421165406e-20
-4.09248246555962,"+",NA,"+",NA,"+",20,-475.978028564008,993.640861845927,102.554434306473,2.28580462820606e-23
-3.88902904824631,NA,"+","+","+",NA,17,-497.36149955001,1029.68885211215,138.602424572697,3.39873637484437e-31
-3.87670933640398,NA,NA,"+","+",NA,16,-498.786047273094,1030.51088412395,139.424456584494,2.25328173439064e-31
-3.86466067293796,NA,NA,NA,"+",NA,15,-501.885952671147,1034.14307798807,143.056650448618,3.66517419344927e-32
-3.86869748849094,NA,"+",NA,"+",NA,16,-501.524207106488,1035.50062651028,144.414198970821,1.8591169222783e-32
-6.2383332275467,"+","+","+",NA,NA,8,-510.240920886662,1037.44516996756,146.358742428104,7.03160485479479e-33
-4.2336193696221,"+","+",NA,NA,"+",19,-500.139682116203,1039.56120357796,148.474776038508,2.44097649268675e-33
-4.16859984559473,"+",NA,NA,NA,"+",18,-501.900080201761,1039.80016040352,148.713732864068,2.16608144271544e-33
-6.2144890016546,"+",NA,"+",NA,NA,6,-519.486428874437,1052.66019425605,161.573766716601,3.49264071200487e-36
-1.52969280067067,NA,"+","+",NA,"+",19,-508.836293419704,1056.40094351722,165.314515977771,5.38096950598171e-37
-1.33750140947239,NA,NA,"+",NA,"+",17,-519.988951511806,1075.6532256868,184.566798147351,3.55042690326299e-41
-3.58588267203542,NA,"+","+",NA,NA,5,-550.719202005882,1112.07676404039,220.990336500934,4.37531894058862e-49
-1.51631065791412,NA,"+",NA,NA,"+",16,-543.651471221953,1120.31944415598,229.233016616521,7.09797509904281e-51
-1.4069136483226,NA,NA,NA,NA,"+",15,-546.128016615935,1122.25603323187,231.169605692416,2.69531480447633e-51
-5.82186000632904,"+","+",NA,NA,NA,5,-557.142184900049,1125.4299168908,234.343489351348,5.51327197416707e-52
-5.83870179255546,"+",NA,NA,NA,NA,4,-558.831620012676,1125.66324002535,234.576812485899,4.90618524680595e-52
-3.48647742721842,NA,NA,"+",NA,NA,3,-562.833159926091,1133.32554752023,242.239119980776,1.0638857952996e-53
-3.17786075296859,NA,"+",NA,NA,NA,2,-598.985156405432,1202.86507793699,311.778650397532,8.44457589582909e-69
-3.1602457404167,NA,NA,NA,NA,NA,0,-602.087005028103,1206.17401005621,315.087582516751,1.61455321256001e-69
