"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-3.76240983028429,"+","+",NA,"+","+",45,-416.268551251286,924.312656288026,0,0.597048433235449
-3.75097335033533,"+","+","+","+","+",47,-414.870524063185,925.165686957185,0.853030669159921,0.389741189910599
-3.24395815398721,NA,"+",NA,"+","+",42,-423.905794338525,933.085630202846,8.77297391482045,0.00742989168372039
-3.23081164998427,NA,"+","+","+","+",44,-422.313223095461,933.587677527712,9.27502123968611,0.00578048516623406
-3.46263459812844,"+","+","+",NA,"+",23,-464.873339093435,975.977854911958,51.6651986239323,3.60623669839125e-12
-3.44316892520199,"+","+",NA,NA,"+",20,-469.247076764816,980.48726245256,56.1746061645343,3.78310872430857e-13
-2.91879974555365,NA,"+","+",NA,"+",20,-473.463980953138,987.352990537346,63.0403342493207,1.22172908248188e-14
-2.88253372561983,NA,"+",NA,NA,"+",18,-478.636452546344,993.369124001346,69.0564677133206,6.03376135594601e-16
-3.61752163619427,"+",NA,"+","+","+",46,-459.422115535102,1010.87515088016,86.5624945921318,9.53240953588712e-20
-3.18510784560435,NA,NA,"+","+","+",42,-467.502513685217,1020.53183337858,96.2191770905499,7.62571782778574e-22
-4.48618925043485,"+","+",NA,"+",NA,31,-489.568939142369,1042.5019528763,118.189296588272,1.29279569982078e-26
-4.46835509896311,"+","+","+","+",NA,33,-488.204036424279,1042.87063800867,118.557981720649,1.07515465498917e-26
-4.10432707066388,NA,"+","+","+",NA,30,-493.212633361064,1046.81129848537,122.498642197343,1.49888181130482e-27
-4.12369032044081,NA,"+",NA,"+",NA,28,-494.913339228514,1046.98959705584,122.676940767815,1.37104069897056e-27
-4.20806418257901,"+",NA,NA,"+","+",44,-481.028565354025,1050.72399485658,126.411338568552,2.11902542622082e-28
-3.80670069993843,NA,NA,NA,"+","+",41,-488.931776062698,1060.2939224653,135.98126617727,1.77032414042661e-30
-3.95818496856042,"+","+","+",NA,NA,9,-550.581132315583,1119.17068084345,194.858024555423,2.90487302390682e-43
-3.96321620648056,"+","+",NA,NA,NA,6,-555.227931606969,1124.18359792202,199.870941633991,2.36911444532358e-44
-3.56627982623431,NA,"+","+",NA,NA,6,-556.374691491749,1124.93780802321,200.625151735187,1.62484297925445e-44
-3.55282013675834,NA,"+",NA,NA,NA,3,-561.83939520576,1131.52072035262,207.208064064592,6.04435757263183e-46
-4.17967896797588,"+",NA,"+","+",NA,31,-536.786012840307,1136.94678743219,212.634131144162,4.00954094599095e-47
-3.86048582394005,NA,NA,"+","+",NA,28,-542.790536814871,1142.74182126856,218.429164980539,2.21166346670997e-48
-3.59212805892488,"+",NA,"+",NA,"+",20,-557.878952727492,1157.06079748118,232.748141193155,1.71946312407715e-51
-3.25008970407369,NA,NA,"+",NA,"+",17,-564.65479563104,1164.65573459268,240.343078304655,3.85632144348743e-53
-3.70748294498313,"+",NA,NA,NA,"+",18,-567.172132621964,1170.34426524393,246.031608955903,2.24349182494872e-54
-4.22478943291242,"+",NA,NA,"+",NA,30,-556.449658266007,1172.92737902578,248.614722737756,6.16607013956207e-55
-3.38439026334566,NA,NA,NA,NA,"+",14,-573.852698099196,1177.70539619839,253.392739910365,5.65555479251371e-56
-3.94415872201568,NA,NA,NA,"+",NA,26,-562.618482783798,1179.08955499856,254.77689871053,2.83079845438141e-56
-3.34191959544479,"+",NA,"+",NA,NA,6,-635.603312543853,1284.70217195732,360.389515669295,3.29929058361369e-79
-3.10334026354191,NA,NA,"+",NA,NA,3,-640.576558294018,1288.64521976674,364.332563478715,4.59408064707577e-80
-3.26515657743201,"+",NA,NA,NA,NA,4,-646.632935093116,1301.26587018623,376.953213898205,8.34947554760709e-83
-3.05016127148045,NA,NA,NA,NA,NA,0,-651.755492497632,1305.51098499526,381.198328707238,9.99641388020732e-84
