"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-2.43022267853955,"+","+",NA,"+","+",33,-420.170909717337,906.711120860677,0,0.495741186031488
-2.45042937858681,"+","+","+","+","+",35,-417.772750451644,906.909762392043,0.198641531365865,0.44886995914125
-2.5496983912055,"+",NA,"+","+","+",31,-424.142116162953,911.475147481126,4.76402662044961,0.0457888530338893
-2.47105193449385,"+",NA,NA,"+","+",29,-427.373798591187,914.684583873332,7.97346301265475,0.00920109484490503
-1.83129497510848,NA,"+",NA,"+","+",28,-433.19650105075,922.450748658316,15.7396277976394,0.000189425416835443
-1.81488566845373,NA,"+","+","+","+",30,-431.64415517473,923.56074514232,16.8496242816432,0.000108744068542499
-2.00756231551773,"+","+","+",NA,"+",22,-439.473045264596,924.815769342688,18.1046484820114,5.80604684045851e-05
-2.12274063514049,"+",NA,"+",NA,"+",19,-443.731983247575,927.110731814183,20.3996109535061,1.84304426705134e-05
-1.98901897604657,NA,NA,"+","+","+",26,-437.217809027144,927.879894415174,21.1687735544971,1.25462584532967e-05
-2.06321090210431,NA,NA,NA,"+","+",25,-438.607561046144,928.025104388195,21.3139835275186,1.16676202291177e-05
-1.40907867865864,NA,"+","+",NA,"+",19,-450.650773408352,940.383906324255,33.6727854635778,2.41714410497233e-08
-1.52167262627836,NA,NA,"+",NA,"+",16,-454.830990220065,943.248908929954,36.537788069277,5.76999094681135e-09
-1.84299185551158,"+","+",NA,NA,"+",20,-451.986953904458,945.121244818546,38.4101239578696,2.26257278719938e-09
-3.95014553082698,"+","+",NA,"+",NA,10,-464.892593356389,949.967225878934,43.2561050182574,2.00590860967016e-10
-3.94635556424822,"+","+","+","+",NA,11,-464.31548773167,950.930167055172,44.219046194495,1.23939894694146e-10
-1.88621904361658,"+",NA,NA,NA,"+",18,-458.11697032316,952.23394064632,45.5228197856435,6.45803336842604e-11
-3.80262935894664,"+",NA,"+","+",NA,7,-468.529878384117,952.863346309324,46.1522254486473,4.71440166545628e-11
-3.70352127480385,"+",NA,NA,"+",NA,6,-470.246069000108,954.046448425256,47.3353275645791,2.60927120318468e-11
-1.37676990855366,NA,"+",NA,NA,"+",17,-461.067129014351,957.128561985183,50.4174411245058,5.58787606781369e-12
-1.59108877376585,NA,NA,NA,NA,"+",15,-466.23252920191,962.46505840382,55.7539375431434,3.87651341998061e-13
-3.478786072969,NA,"+",NA,"+",NA,6,-474.749186693391,962.490814992432,55.7796941317552,3.82691062452847e-13
-3.48303987890157,NA,"+","+","+",NA,7,-474.031937694713,963.345798739134,56.6346778784574,2.49569183388023e-13
-3.46356750339072,NA,NA,NA,"+",NA,3,-478.336776576167,963.821792819425,57.1106719587482,1.96711684197638e-13
-3.469586572772,NA,NA,"+","+",NA,4,-477.245736442035,964.07013087848,57.3590100178028,1.73741766315527e-13
-3.86753876546573,"+","+","+",NA,NA,8,-480.030504516854,976.583047844791,69.8719269841138,3.33241312944834e-16
-3.78455133584292,"+",NA,"+",NA,NA,5,-482.708182592778,976.830374526995,70.1192536663183,2.94477779883484e-16
-3.3342107345906,NA,NA,"+",NA,NA,2,-492.318047423109,990.251991546952,83.5408706862755,3.58579473522691e-19
-3.34289089826165,NA,"+","+",NA,NA,5,-490.181697416069,990.442795055285,83.731674194608,3.25951489399694e-19
-3.72874553133913,"+","+",NA,NA,NA,6,-489.378853151963,991.049904986255,84.3387841255786,2.40613906058282e-19
-3.52144650981354,"+",NA,NA,NA,NA,3,-493.368176812501,994.736353625001,88.0252327643246,3.80906665588474e-20
-3.27460665423322,NA,"+",NA,NA,NA,3,-498.193385066558,1002.53296725856,95.8218463978802,7.72334496741162e-22
-3.26366940935329,NA,NA,NA,NA,NA,0,-501.05882370872,1004.11764741744,97.4065265567632,3.49700705907532e-22
