"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
0.263071741900797,"+","+","+","+","+",46,-1719.54413642407,3532.11200219812,0,0.92550666779858
0.35699525704419,NA,"+","+","+","+",43,-1725.39761466564,3537.72985767784,5.61785547971658,0.0557799004030314
0.257719753916232,"+","+",NA,"+","+",44,-1725.20465973652,3539.996120199,7.88411800087852,0.0179624296711977
0.370295379576835,NA,"+",NA,"+","+",41,-1731.43856065613,3546.34580419387,14.2338019957442,0.000750842280932179
0.364246791428639,"+",NA,"+","+","+",43,-1738.26189170147,3564.26659721674,32.1545950186141,9.64046450075576e-08
0.36065521998036,NA,NA,"+","+","+",40,-1741.78695970667,3565.19639495862,33.0843927605015,6.05612660266034e-08
0.318868691899707,"+",NA,NA,"+","+",41,-1744.18243535763,3572.08682744351,39.9748252453874,1.93177500466272e-09
0.353530191608202,NA,NA,NA,"+","+",38,-1747.98089105502,3573.50930083977,41.3972986416516,9.48572148755226e-10
0.0324590717911572,"+","+","+",NA,"+",24,-1778.13933638335,3605.3849082959,73.272906097779,1.13597861643067e-16
0.1623929572292,NA,"+","+",NA,"+",21,-1785.3387579204,3613.68131779026,81.5693155921394,1.79402183621384e-18
0.0178739241352952,"+","+",NA,NA,"+",23,-1807.9742829005,3663.02688159319,130.914879395066,3.45600762358029e-29
0.211415336884934,NA,"+",NA,NA,"+",20,-1817.82706891641,3676.56430340163,144.452301203505,3.97155788308063e-32
0.100888643535658,NA,NA,"+",NA,"+",17,-1834.09049272562,3703.4215880842,171.309585886075,5.84757267787246e-38
0.194820611522188,"+",NA,"+",NA,"+",20,-1831.27768581806,3703.88149111435,171.769488916226,4.64631825657866e-38
-1.00769617689528,"+","+","+","+",NA,32,-1829.53375730047,3723.87554470167,191.763542503553,2.11570631433385e-42
-1.00746617531658,"+","+",NA,"+",NA,31,-1830.76725667548,3724.66836482383,192.556362625713,1.42330075625811e-42
-0.88309218396852,NA,"+","+","+",NA,29,-1833.74969786683,3726.68655092119,194.574548723067,5.1886351968926e-43
-0.882626457408539,NA,"+",NA,"+",NA,28,-1835.41065926967,3727.8448398415,195.732837643375,2.90759487091166e-43
-0.871843520946359,NA,NA,"+","+",NA,26,-1850.16072675183,3753.417375044,221.305372845875,8.13820135071652e-49
-0.915129746549869,"+",NA,"+","+",NA,29,-1847.93864977595,3755.07725883599,222.965256637873,3.54886308807437e-49
-0.870408101736184,NA,NA,NA,"+",NA,25,-1852.28335559469,3755.52902905707,223.417026858952,2.83131759555546e-49
-0.942469680710886,"+",NA,NA,"+",NA,28,-1849.6462711313,3756.38498188773,224.272979689612,1.8455286533745e-49
0.123221182997966,"+",NA,NA,NA,"+",18,-1862.70238317712,3761.40476635424,229.292764156122,1.4999902816443e-50
0.154150679827138,NA,NA,NA,NA,"+",14,-1866.63423429171,3763.26846858341,231.156466385292,5.90732205408965e-51
-1.01486416198209,"+","+","+",NA,NA,10,-1892.42253987087,3805.35216429677,273.240162098652,4.2956830985707e-60
-0.825072854995024,NA,"+","+",NA,NA,7,-1899.92938646262,3814.15287967092,282.040877472796,5.27207006310379e-62
-1.03124306627671,"+","+",NA,NA,NA,9,-1916.19728982152,3851.54949928645,319.437497088329,3.99400314714158e-70
-0.811519228266187,NA,"+",NA,NA,NA,6,-1926.29485761689,3865.5259483206,333.413946122483,3.68519995066675e-73
-0.795512630921624,NA,NA,"+",NA,NA,2,-1947.94136461439,3899.91209228232,367.800090084194,1.25778024243306e-80
-0.762339898802123,"+",NA,"+",NA,NA,5,-1945.91773324399,3902.18047251185,370.068470313732,4.04605945417373e-81
-0.840471895316751,"+",NA,NA,NA,NA,3,-1974.62217878083,3957.24435756166,425.132355363542,4.46746897852941e-93
-0.777488328993678,NA,NA,NA,NA,NA,0,-1978.44259390008,3958.88518780016,426.77318560204,1.9667981284188e-93
