"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-38.6635989438531,"+","+",NA,"+","+",47,-420.182053377045,935.856779649102,0,0.652262931559627
-40.6597428089274,"+","+","+","+","+",48,-419.631736441134,937.114781862012,1.25800221291001,0.347737068336054
-35.8107258080612,NA,"+",NA,"+","+",44,-446.762748790686,981.792794212779,45.9360145636764,6.91104745733373e-11
-37.4390074820813,NA,"+","+","+","+",45,-446.337722537831,983.141753368019,47.2849737189166,3.520635927072e-11
-4.82533683792649,"+","+",NA,NA,"+",21,-480.157347350504,1003.53218883417,67.675409185068,1.31490480752315e-15
-4.84605737878714,"+","+","+",NA,"+",22,-479.763535520346,1004.72268235751,68.8659027084075,7.25073327127382e-16
-8.09703248430293,"+","+","+","+",NA,33,-484.70847871506,1036.33168524265,100.474905593552,9.92142750843156e-23
-7.60485432847218,"+","+",NA,"+",NA,30,-490.162853464485,1041.72476773512,105.867988086022,6.69084824958708e-24
-2.61252258152171,NA,"+",NA,NA,"+",18,-505.807153265026,1048.6259750324,112.769195383301,2.12277056152285e-25
-2.62585035626395,NA,"+","+",NA,"+",19,-505.614666165868,1050.22730920225,114.370529553151,9.53186229171136e-26
-5.40444317168361,"+",NA,"+","+","+",37,-497.641687843718,1069.54153191099,133.68475226189,6.09744072456835e-30
-6.04580186016093,NA,"+","+","+",NA,28,-510.146104981958,1077.74298117949,141.886201530392,1.0097770748651e-31
-5.4432060383869,NA,"+",NA,"+",NA,27,-513.095514248688,1080.97952272177,145.122743072667,2.00179426402978e-32
-39.1493190458516,NA,NA,"+","+","+",42,-504.175212847817,1094.28322237469,158.426442725586,2.58557872983175e-35
-5.61791362530152,"+","+","+",NA,NA,10,-548.253201260814,1117.92666156106,182.069881911959,1.89867302580044e-40
-5.55655729555238,"+","+",NA,NA,NA,7,-552.715795410494,1121.29378263548,185.437002986375,3.52605538158597e-41
-47.9677532631807,"+",NA,NA,"+","+",43,-520.291851324012,1128.16777570514,192.310996056039,1.13401944071598e-42
-52.6856914769813,NA,NA,NA,"+","+",41,-530.659512530721,1145.15594478856,209.29916513946,2.32106046659873e-46
-3.54858801565165,NA,"+",NA,NA,NA,4,-574.400902307576,1158.45296035346,222.59618070436,3.00798877824671e-49
-3.5541277395083,NA,"+","+",NA,NA,5,-573.433996602606,1158.48954020548,222.632760556375,2.95347295100229e-49
-4.94717800193974,"+",NA,"+",NA,"+",20,-565.010125253232,1171.72218573933,235.865406090224,3.95276076053286e-52
-3.27680218451797,NA,NA,"+",NA,"+",17,-576.512649547184,1188.5929388988,252.7361592497,8.57952073658907e-56
-32.8045794166734,"+",NA,"+","+",NA,32,-567.157295301249,1199.42719332456,263.570413675454,3.8092069841998e-58
-4.77134686786965,"+",NA,NA,NA,"+",17,-589.987102202895,1215.97420440579,280.117424756687,9.72068275416904e-62
-70.8194350760496,NA,NA,"+","+",NA,32,-577.305857589361,1218.9400137875,283.083234138394,2.20637559579223e-62
-3.44998754582957,NA,NA,NA,NA,"+",14,-596.16071424486,1222.32142848972,286.464648840617,4.06831500169206e-63
-38.295987578789,"+",NA,NA,"+",NA,29,-585.477528788908,1230.54817433587,294.691394686768,6.65272251837464e-65
-34.7596826152555,NA,NA,NA,"+",NA,26,-593.448459160936,1240.24707769773,304.390298048632,5.21085879045412e-67
-4.29749385767952,"+",NA,"+",NA,NA,6,-644.276886275658,1302.39910590904,366.542326259939,1.66252375217885e-80
-2.92933475846151,NA,NA,"+",NA,NA,3,-652.324461085797,1312.46151270061,376.604733051509,1.08578537240153e-82
-3.936715618016,"+",NA,NA,NA,NA,3,-664.562846568784,1337.12569313757,401.268913488465,4.7861384163464e-88
-2.86020553607056,NA,NA,NA,NA,NA,0,-668.788075122154,1339.57615024431,403.719370595206,1.40564371329183e-88
