"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-3.3172929516374,"+",NA,NA,"+","+",39,-678.929335496152,1437.80126795844,0,0.408915727299035
-3.31689260120917,"+","+",NA,"+","+",40,-678.448652480335,1438.4740334861,0.672765527663614,0.292108796976143
-3.30894779078179,"+",NA,"+","+","+",41,-678.665291903415,1439.34459495177,1.54332699333008,0.189018632040158
-3.31942834770122,"+","+","+","+","+",41,-678.481792931985,1440.42812701312,2.62685905467947,0.109955920389468
-2.07644318056231,NA,NA,NA,"+","+",37,-695.548012285938,1465.63697294772,27.8357049892784,3.69136742920415e-07
-2.06252722235665,NA,"+",NA,"+","+",38,-695.544973929783,1467.41638369668,29.6151157382376,1.51632795343234e-07
-2.06819081814202,NA,NA,"+","+","+",38,-695.467050673349,1467.43427658063,29.6330086221863,1.50282271537571e-07
-4.1688208383174,"+",NA,NA,"+",NA,26,-707.833549349021,1469.06893448474,31.2676665263043,6.63660999972305e-08
-2.06227359171043,NA,"+","+","+","+",39,-695.518115205299,1469.33735174501,31.5360837865676,5.80310234009654e-08
-4.19655924384526,"+","+","+","+",NA,28,-706.509517749395,1469.6695135114,31.8682455529649,4.91509841883461e-08
-4.15937512210567,"+",NA,"+","+",NA,27,-707.464499491499,1469.95065874566,32.1493907872195,4.27053520634026e-08
-4.18909656646193,"+","+",NA,"+",NA,27,-707.508646812022,1470.2928369404,32.4915689819632,3.5989785283602e-08
-3.06962361908279,NA,NA,NA,"+",NA,23,-724.642332586966,1497.10308613901,59.3018181805724,5.42509831442605e-14
-3.06840060130306,NA,NA,"+","+",NA,24,-724.051305727895,1497.55072614236,59.7494581839219,4.33714379652594e-14
-3.06832011540504,NA,"+","+","+",NA,25,-723.864781745745,1498.96681888932,61.165550930885,2.13650143247859e-14
-3.06883175202624,NA,"+",NA,"+",NA,24,-724.671051596208,1499.02566622847,61.2243982700345,2.07455355642996e-14
-2.64976435178962,"+","+","+",NA,"+",20,-740.953169526661,1522.62870528511,84.8274373266688,1.55449683370822e-19
-2.65087652533873,"+",NA,"+",NA,"+",19,-742.481474438404,1522.9670027548,85.165734796356,1.31259117378974e-19
-2.65346181784879,"+","+",NA,NA,"+",19,-746.241385719107,1530.48467894353,92.6834109850922,3.05975629438721e-21
-2.65806110354386,"+",NA,NA,NA,"+",18,-750.001449630316,1536.00289926063,98.2016313021916,1.93829787684515e-22
-1.48853632156562,NA,NA,"+",NA,"+",16,-757.831953465852,1547.6678783554,109.866610396965,5.68070836142249e-25
-1.46757108520484,NA,"+","+",NA,"+",17,-757.020556997977,1548.77269773229,110.97142977385,3.26959540544641e-25
-1.477970420099,NA,"+",NA,NA,"+",16,-761.863740883062,1555.72887438875,117.927606430313,1.0092051217138e-26
-1.54044504094691,NA,NA,NA,NA,"+",15,-763.944282728125,1557.88856545625,120.08729749781,3.42774486792974e-27
-3.73671492475464,"+","+","+",NA,NA,6,-780.578952290705,1574.22928240574,136.428014447305,9.69765854511742e-31
-3.69932549221746,"+",NA,"+",NA,NA,5,-782.529688954162,1575.06092026643,137.259652307988,6.3985124836948e-31
-3.73073331396708,"+","+",NA,NA,NA,5,-782.743659068459,1575.49333395933,137.692066000889,5.1544410994689e-31
-3.66867674679277,"+",NA,NA,NA,NA,4,-785.434788319073,1578.86957663815,141.068308679707,9.52883482285514e-32
-2.62916577989481,NA,NA,"+",NA,NA,2,-798.415314336521,1600.8322785889,163.03101063046,1.62143545893162e-36
-2.63131664045237,NA,"+","+",NA,NA,3,-797.581912651672,1601.76820136347,163.966933405027,1.01546887879431e-36
-2.62591972705669,NA,"+",NA,NA,NA,2,-799.302580048446,1602.60772667497,164.806458716527,6.6736897482612e-37
-2.6202913468135,NA,NA,NA,NA,NA,0,-800.626792460777,1603.25358492155,165.452316963113,4.83191934829787e-37
