"Predator","Response","s(GEAR_TEMP, k = 4)","Len_bin","s(GEAR_DEPTH)","s(RLONG, RLAT)","Year","adjR^2","deviance","df","logLik","AIC","delta","weight","Gear_Temp","Length_Bin","Gear_Depth","Lat_Long","Year_"
"Arrowtooth flounder","Euphausiid  ",NA,"+","+","+","+",0.312085773335503,38.4696426644342,36,-1923.4821332217,3920.90893350911,0,0.675428540319005,0.675428540321147,1,1,1,0.999999999987829
"Arrowtooth flounder","Euphausiid  ","+","+","+","+","+",0.312187806274201,38.4661634796433,37,-1923.30817398217,3922.37461678386,1.46568327475052,0.324571459668823,0.324571459678853,1,1,1,0.999999999987829
"Pacific cod","Euphausiid  ",NA,"+","+","+","+",0.161912663406862,35.6768926357918,32,-1783.84463178959,3633.10692185174,0,0.576428582773293,0.654371703953871,0.874749905782988,0.999999467746402,1,1
"Pacific cod","Euphausiid  ","+","+","+","+","+",0.162555772858755,35.6604426185094,34,-1783.02213092547,3634.42428382904,1.31736197729833,0.298321111784048,0.345628296046129,0.874749905782988,0.999999467746402,1,1
"Walleye pollock","Euphausiid ",NA,"+","+","+","+",0.207369241826615,32.5234694225742,35,-1626.17347112871,3324.24547440128,0,0.512171318942707,0.51217146105214,0.999999757388738,1,1,0.999999999999952
"Walleye pollock","Euphausiid ","+","+","+","+","+",0.208050880144223,32.5058403229588,36,-1625.29201614793,3324.34286518708,0.0973907858024177,0.487828438445982,0.48782853894786,0.999999757388738,1,1,0.999999999999952
"Arrowtooth flounder","Walleye pollock","+","+","+","+","+",0.259382307385752,28.7358373101795,36,-1436.79186550898,2946.65594775926,0,0.93078888306607,0.932760226128578,1,0.998026490438448,1,1
"Pacific halibut","Walleye pollock","+","+","+","+",NA,0.299532666758288,25.7712201597722,34,-1288.56100798861,2645.74751605277,0,0.63038250381521,0.999424853466282,1,0.99999999999994,1,0.630791271174353
"Pacific halibut","Walleye pollock","+","+","+","+","+",0.300094241776645,25.7572340313676,35,-1287.86170156838,2646.81834680857,1.07083075580249,0.369042349651012,0.999424853466282,1,0.99999999999994,1,0.369208728825648
"Pacific cod","Walleye pollock","+","+","+","+","+",0.319456029364296,16.0278064684922,32,-801.390323424376,1667.98659484165,0,0.945104065614314,0.999938295475167,1,0.945151543758129,1,0.999999995351086
"Arrowtooth flounder","Forage Fish",NA,"+","+","+","+",0.174422205556902,31.5683167241702,27,-1578.41583620851,3211.09774463518,0,0.568311961498283,0.568558357622092,0.999999998693724,0.999653106743068,1,0.999974644166885
"Arrowtooth flounder","Forage Fish","+","+","+","+","+",0.175063000465555,31.552101682103,28,-1577.60508410515,3211.64940449179,0.551659856608694,0.431315813465522,0.431441642377908,0.999999998693724,0.999653106743068,1,0.999974644166885
"Pacific halibut","Forage Fish","+","+","+","+",NA,0.276726245959011,16.4700222134746,28,-823.501110673708,1704.41690321775,0,0.496479828000831,0.680700262253446,0.999999924153825,1,1,0.728364489952251
"Pacific halibut","Forage Fish",NA,"+","+","+",NA,0.273167973959969,16.532672358579,26,-826.633617928951,1705.93950919919,1.52260598143835,0.231884606822429,0.319299737746554,0.999999924153825,1,1,0.728364489952251
"Pacific halibut","Forage Fish","+","+","+","+","+",0.276715601132303,16.4702098266436,29,-823.510491331211,1706.39972332662,1.98282010887283,0.184220387648336,0.680700262253446,0.999999924153825,1,1,0.271635510047749
"Arrowtooth flounder","Pandalidae","+","+","+","+","+",0.271504133949781,28.7808033186958,38,-1439.04016593479,2954.27542000892,0,0.73995886669958,0.739982437774604,0.999999634679435,1,1,0.999962525162621
"Pacific Cod","Pandalidae","+","+","+","+","+",0.326762566177868,33.561170334272,37,-1678.0585167136,3431.34780500485,0,0.895830300089033,0.895830300089037,1,1,1,0.999999999999996
"Walleye Pollock","Pandalidae","+","+","+","+","+",0.308613918647131,25.7998949905253,36,-1289.99474952627,2652.82931158271,0,0.916231383315972,0.916231674798108,1,1,1,0.999999701092212
"Pacific Halibut","Tanner Crab","+","+","+","+",NA,0.241125120864719,26.2588969008332,34,-1312.94484504168,2695.19321942453,0,0.591566766033531,0.9999999908041,1,1,1,0.591566767635285
"Pacific Halibut","Tanner Crab","+","+","+","+","+",0.241592546233774,26.2480233339888,35,-1312.40116669954,2695.93411165725,0.740892232720853,0.408433224770568,0.9999999908041,1,1,1,0.408433232364715
"Pacific Cod","Tanner Crab","+","+","+","+","+",0.326445988257184,29.1591457376407,37,-1457.95728688203,2989.98034408051,0,0.736769837946169,0.736915017350116,1,1,1,0.99984871460014
