"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-4.57380026513809,"+","+",NA,"+","+",41,-603.240593503994,1289.67149239266,0,0.690311618740533
-4.563171086618,"+","+","+","+","+",42,-603.059974572943,1291.27469520638,1.60320281372424,0.309680682496035
-2.66906015004306,NA,"+","+","+","+",42,-614.663399692654,1313.72918272935,24.0576903366943,4.12082434728255e-06
-2.65794957866289,NA,"+",NA,"+","+",38,-618.22226150142,1314.01171584545,24.3402234527928,3.5779380456895e-06
-5.17024212606312,"+","+","+","+",NA,30,-642.259951626354,1345.00570236936,55.3342099767024,6.65846553991048e-13
-4.29663574923791,"+",NA,"+","+","+",42,-630.360544022374,1346.27420490493,56.6027125122707,3.53120012108104e-13
-5.08046219402757,"+","+",NA,"+",NA,26,-649.196996798088,1351.96881289897,62.297320506312,2.04811301094983e-14
-2.54501892090335,NA,NA,"+","+","+",39,-643.73001329129,1366.73714340894,77.0656510162871,1.27189626736301e-17
-3.37328742574974,NA,"+","+","+",NA,27,-656.516307950437,1368.40827721675,78.7367848240938,5.51530579957894e-18
-3.3054532123924,NA,"+",NA,"+",NA,24,-663.242470842427,1374.69627764144,85.024785248783,2.37764851536611e-19
-4.04539071563717,"+",NA,NA,"+","+",42,-653.988756190052,1392.5404574384,102.868965045746,3.17200047655984e-23
-3.76586645702066,"+","+","+",NA,"+",23,-677.765923254245,1402.60235408957,112.930861696917,2.07214502439146e-25
-2.68821290824639,NA,NA,NA,"+","+",39,-663.742971016999,1405.99605892502,116.324566532364,3.79740139614471e-26
-1.83714876114029,NA,"+","+",NA,"+",20,-694.718435046806,1430.90131240707,141.229820014413,1.48381387190016e-31
-3.61691558917498,"+",NA,"+",NA,"+",20,-701.440916706499,1443.70267655916,154.031184166507,2.46376068550713e-34
-4.3941420082048,"+",NA,"+","+",NA,28,-695.35566694526,1447.22350318028,157.552010787628,4.23702214836096e-35
-4.21747150065358,"+",NA,NA,"+",NA,28,-701.10706474931,1458.22307766653,168.551585273871,1.73194255350203e-37
-2.98943597085403,NA,NA,"+","+",NA,25,-705.171993112155,1461.2879591114,171.616466718745,3.74113115075055e-38
-3.6594549264976,"+","+",NA,NA,"+",21,-711.604474358957,1466.42788016397,176.75638777131,2.86340815838454e-39
-1.74998759041853,NA,NA,"+",NA,"+",17,-717.100114519057,1469.20937063373,179.537878241073,7.12672952641488e-40
-2.98272699222746,NA,NA,NA,"+",NA,25,-709.799821043514,1469.76533607396,180.0938436813,5.39714287935681e-40
-4.7826363813941,"+","+","+",NA,NA,10,-732.937363910555,1486.40055688881,196.729064496157,1.3178670898379e-43
-1.7745955247541,NA,"+",NA,NA,"+",18,-730.722492845995,1498.659379891,208.987887498349,2.87013298970351e-46
-4.69959068176824,"+","+",NA,NA,NA,8,-747.713774325144,1511.56975202094,221.898259628287,4.51284412250632e-49
-2.91656628267886,NA,"+","+",NA,NA,7,-751.017161187769,1516.74657497203,227.075082579377,3.39091975256962e-50
-2.85441823391847,NA,"+",NA,NA,NA,5,-766.64192338736,1543.57130965322,253.89981726056,5.07458331129705e-56
-4.26719110300511,"+",NA,"+",NA,NA,6,-769.180797344182,1550.52843727577,260.856944883116,1.56559461438456e-57
-2.65488459142533,NA,NA,"+",NA,NA,3,-782.078544344376,1570.48547202989,280.813979637231,7.26213443571626e-62
-2.92567320956488,"+",NA,NA,NA,"+",17,-767.406465345064,1570.81293069013,281.141438297472,6.16534721209945e-62
-1.70474809223841,NA,NA,NA,NA,"+",15,-775.981922760333,1581.96384552067,292.292353128011,2.33650734240959e-64
-3.65713075579224,"+",NA,NA,NA,NA,4,-806.079228648112,1620.15845729622,330.486964903568,1.18771593667893e-72
-2.51854130510285,NA,NA,NA,NA,NA,1,-814.733754256573,1631.46750851315,341.79601612049,4.15894631418506e-75
