,,,,,,,,,,,,,Length,Depth,Temp,Lat/Long,Year
,,,,,,,,,,,,,0.9999810,0.9557953,0.9882564,0.9999980,0.9971627
(Intercept),Group_Pred_Len,s(GEAR_DEPTH),"s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)",Year,df,logLik,AIC,delta,weight,,,1.0000000,1.0000000,1.0000000,1.0000000,1.0000000
-35.00239435,-0.026873673,+,+,+,+,29,-504.8444089,1069.633632,0,0.947106257,,,,,,,
-46.02973828,-0.03204282,NA,+,+,+,28,-509.2429653,1076.044889,6.411257875,0.038389437,,,,,,,
-35.63198028,-0.026272461,+,NA,+,+,27,-512.3888312,1079.569157,9.935524945,0.006590629,,,,,,,
-27.91826237,-0.029859887,NA,NA,+,+,26,-513.4346387,1080.099513,10.46588136,0.005055469,,,,,,,
-1.667140022,-0.026503942,+,+,+,NA,15,-525.3898531,1081.92986,12.29622879,0.002024448,,,,,,,
-1.39902205,-0.030517027,NA,+,+,NA,14,-527.4414777,1084.010464,14.37683294,0.000715334,,,,,,,
-1.667351377,-0.025874157,+,NA,+,NA,13,-531.2415555,1089.190572,19.5569403,5.37E-05,,,,,,,
-1.430144127,-0.029533463,NA,NA,+,NA,12,-532.270605,1089.600226,19.96659463,4.37E-05,,,,,,,
-38.17927429,NA,+,+,+,+,29,-515.7303625,1091.279715,21.64608301,1.89E-05,,,,,,,
-36.78008115,-0.02605988,+,+,NA,+,19,-529.0016544,1096.856408,27.22277615,1.16E-06,,,,,,,
-37.40283757,-0.030086614,NA,+,NA,+,18,-530.3840025,1097.878297,28.24466528,6.97E-07,,,,,,,
-42.32757871,NA,+,NA,+,+,27,-523.6574499,1101.430642,31.79701088,1.18E-07,,,,,,,
-1.56272782,-0.026421215,+,+,NA,NA,5,-545.7198214,1101.929488,32.29585622,9.19E-08,,,,,,,
-1.289420591,-0.030607799,NA,+,NA,NA,4,-547.2889773,1103.116472,33.48284016,5.08E-08,,,,,,,
-3.251205769,NA,+,+,+,NA,14,-537.3550579,1104.345963,34.71233182,2.75E-08,,,,,,,
-14.08686618,-0.027913619,NA,NA,NA,+,16,-537.6428487,1107.285697,37.65206583,6.31E-09,,,,,,,
-34.59785815,-0.025340211,+,NA,NA,+,17,-537.0800202,1108.163781,38.53014936,4.07E-09,,,,,,,
-57.09977687,NA,NA,+,+,+,28,-526.3653001,1110.159239,40.52560703,1.50E-09,,,,,,,
-3.217218505,NA,+,NA,+,NA,12,-542.4678052,1110.712236,41.07860471,1.14E-09,,,,,,,
-1.369489336,-0.028677896,NA,NA,NA,NA,1,-553.9858335,1111.971667,42.33803535,6.06E-10,,,,,,,
-1.570951517,-0.025556442,+,NA,NA,NA,3,-553.217481,1112.43895,42.80531886,4.80E-10,,,,,,,
-29.79057246,NA,NA,NA,+,+,27,-529.261146,1112.939162,43.3055305,3.74E-10,,,,,,,
-3.193372008,NA,NA,+,+,NA,14,-544.252314,1117.316742,47.68310996,4.19E-11,,,,,,,
-61.54866724,NA,+,+,NA,+,18,-540.7911264,1119.327664,49.69403242,1.53E-11,,,,,,,
-3.168516561,NA,NA,NA,+,NA,13,-548.2748213,1122.814358,53.18072637,2.68E-12,,,,,,,
-3.141890937,NA,+,+,NA,NA,4,-558.5749734,1125.611305,55.97767388,6.62E-13,,,,,,,
-36.38300656,NA,+,NA,NA,+,16,-549.2649393,1130.532141,60.89850961,5.66E-14,,,,,,,
-22.04026161,NA,NA,+,NA,+,17,-548.8981523,1133.25342,63.61978827,1.45E-14,,,,,,,
-3.097226276,NA,+,NA,NA,NA,2,-565.6059497,1135.21552,65.5818888,5.44E-15,,,,,,,
-16.04346709,NA,NA,NA,NA,+,14,-555.2816334,1140.563267,70.92963534,3.75E-16,,,,,,,
-3.076728785,NA,NA,+,NA,NA,3,-567.2331069,1141.382968,71.74933653,2.49E-16,,,,,,,
-3.039443707,NA,NA,NA,NA,NA,0,-572.8832193,1147.766439,78.13280698,1.02E-17,,,,,,,
