"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-85.4685488884196,"+","+",NA,"+","+",38,-298.425059175433,673.626551483192,0,0.652468763668096
-78.2491365734413,"+","+","+","+","+",39,-297.95992600815,675.400013597,1.77346211380814,0.268817365235741
-42.2352674989296,"+","+",NA,"+",NA,23,-315.531706986468,678.849169267942,5.22261778474956,0.0479162345989424
-45.4415010760873,"+","+","+","+",NA,25,-314.332150545019,679.851697741035,6.2251462578422,0.0290259465140903
-100.755815402378,"+",NA,"+","+","+",34,-307.815499953247,685.529223174199,11.9026716910063,0.00169795981371535
-41.3823375724657,"+",NA,"+","+",NA,20,-326.16742481844,692.829353163242,19.2028016800493,4.41290239414217e-05
-44.3182172553713,NA,"+",NA,"+","+",35,-312.177528062551,695.491078641463,21.8645271582708,1.16610586035111e-05
-78.4247412211686,"+",NA,NA,"+","+",32,-315.968924700501,697.168830815743,23.5422793325509,5.03986289824742e-06
-44.1209956634415,NA,"+","+","+","+",37,-311.574398366223,697.183351863359,23.5568003801664,5.00340337148233e-06
-4.6495394855272,NA,"+",NA,"+",NA,21,-327.310550436632,697.23037638503,23.6038249018372,4.88713427731778e-06
-4.66058766234684,NA,"+","+","+",NA,22,-326.383443125994,698.487036070622,24.8604845874293,2.60719844351307e-06
-40.4985137704468,"+",NA,NA,"+",NA,18,-333.35846873728,703.050499479979,29.4239479967871,2.66213821432891e-07
-52.0006126330032,NA,NA,"+","+","+",31,-320.638873852774,704.784084383943,31.1575329007508,1.11889007321603e-07
-4.67378775655734,NA,NA,"+","+",NA,17,-336.947080173699,708.39620963283,34.7696581496382,1.83833387084683e-08
-41.260290906193,NA,NA,NA,"+","+",29,-325.934419916989,711.108526607177,37.4819751239847,4.73644219571065e-09
-4.56742266749811,NA,NA,NA,"+",NA,15,-341.568242659244,713.748528008891,40.1219765256991,1.26527002942107e-09
-93.0141291530434,"+","+","+",NA,"+",29,-377.645454213776,814.692101721845,141.065550238653,1.52252592867397e-31
-55.089063899825,NA,"+","+",NA,"+",26,-396.665066752592,846.742739668085,173.116188184893,1.67054083722203e-38
-90.7272853589225,"+",NA,"+",NA,"+",20,-403.784774397251,849.441470834562,175.81491935137,4.33346277013586e-39
-59.6841094317387,"+","+","+",NA,NA,15,-412.193894253421,855.688973479535,182.062421996343,1.90636961619885e-40
-50.7242504431115,"+",NA,"+",NA,NA,6,-431.694715350775,877.243881299082,203.617329815889,3.97757470950117e-45
-4.36610894176133,NA,"+","+",NA,NA,12,-432.497822538812,890.288917950034,216.662366466842,5.84688603369871e-48
-49.0273508684129,NA,NA,"+",NA,"+",17,-431.258155323093,898.399127858113,224.772576374921,1.01347939538325e-49
-4.13344896766115,NA,NA,"+",NA,NA,3,-458.791714159917,925.44974241765,251.823190934458,1.3547170789934e-55
-82.9212755288225,"+","+",NA,NA,"+",26,-447.5925998514,948.722816084952,275.09626460176,1.19719493473187e-60
-45.5742233585576,"+","+",NA,NA,NA,12,-471.265139318907,968.065718171667,294.439166688475,7.54930637116357e-65
-32.9313099561956,"+",NA,NA,NA,"+",17,-466.632926532484,969.265853064966,295.639301581774,4.14286774896006e-65
-17.2130009501443,"+",NA,NA,NA,NA,4,-489.08522746848,986.17045493696,312.543903453767,8.84124476273802e-69
-36.7657749671734,NA,"+",NA,NA,"+",23,-471.808407234777,991.158082430487,317.531530947294,7.3023705128685e-70
-16.1685868595091,NA,NA,NA,NA,"+",15,-488.056880107438,1006.11376021488,332.487208731683,4.12933100677114e-73
-3.40613847180107,NA,"+",NA,NA,NA,9,-494.416088684657,1008.37380835501,334.74725687182,1.3338791350145e-73
-3.19376990373724,NA,NA,NA,NA,NA,1,-509.894434721637,1021.78886944327,348.162317960081,1.62956983454518e-76
