"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-10.0623188189248,"+","+",NA,"+","+",49,-465.759703000206,1031.06570841475,0,0.554326233098481
-10.0509874358326,"+","+","+","+","+",51,-464.317602433922,1031.5346521606,0.468943745842125,0.438465665526045
-8.85738350817006,NA,"+",NA,"+","+",46,-473.687229247416,1040.87785212822,9.81214371346482,0.00410284864988604
-8.82328271992745,NA,"+","+","+","+",48,-472.30172161128,1041.43502496894,10.3693165541886,0.00310525272425155
-10.3235424857531,"+","+","+",NA,"+",24,-517.643027339764,1084.86358824848,53.7978798337306,1.15266805370503e-12
-10.7025154161567,"+","+",NA,NA,"+",22,-521.565325182664,1088.59764174296,57.5319333282011,1.78182415847921e-13
-9.13735729708804,NA,"+","+",NA,"+",21,-526.2223403801,1096.03797250304,64.9722640882874,4.31735287327751e-15
-9.53067204069405,NA,"+",NA,NA,"+",19,-530.190777953814,1099.84762391547,68.781915500716,6.42631860712794e-16
-9.81236987473824,"+","+",NA,"+",NA,35,-539.465719425315,1150.24520672899,119.179498314234,7.31587362489146e-27
-9.91895165137903,"+","+","+","+",NA,37,-538.345131388454,1150.91489156374,119.849183148983,5.23414778459213e-27
-8.80291036411982,NA,"+",NA,"+",NA,32,-546.921199237144,1159.1280302223,128.06232180755,8.61758511118098e-29
-8.88327134846258,NA,"+","+","+",NA,34,-545.934155914249,1160.00538270416,128.93967428941,5.55739045233608e-29
-4.59829926277663,"+",NA,"+","+","+",39,-555.189936828636,1189.08556718088,158.01985876613,2.69270691186687e-35
-3.76658140635798,NA,NA,"+","+","+",36,-561.25955884559,1195.45734126672,164.391632851961,1.1132069842326e-36
-9.9464652546789,"+","+","+",NA,NA,11,-596.644957863194,1215.84122926056,184.775520845809,4.17129480625131e-41
-9.69469659384373,"+","+",NA,NA,NA,8,-600.992872562854,1219.45425234035,188.388543925594,6.85035205477986e-42
-8.96766133716129,NA,"+","+",NA,NA,8,-603.825224800308,1224.23127984427,193.165571429515,6.28629198186318e-43
-8.67319487412474,NA,"+",NA,NA,NA,5,-608.151490198103,1227.76920393129,196.703495516534,1.0718748841989e-43
-4.45108835278017,"+",NA,"+",NA,"+",20,-600.347898974865,1242.48664868512,211.420940270368,6.82796950255322e-47
-3.75893286111464,NA,NA,"+",NA,"+",17,-607.897099317437,1251.58770628585,220.521997871099,7.2114405052009e-49
-4.16947276269036,"+",NA,NA,"+","+",37,-592.171675395069,1259.86235837685,228.796649962097,1.15134148532751e-50
-3.73158559810236,NA,NA,NA,"+","+",35,-598.545620423852,1267.21688644832,236.151178033564,2.91198192070872e-52
-3.82997474506244,"+",NA,NA,NA,"+",17,-644.476135061103,1324.95227012221,293.886561707452,8.45491808324382e-65
-3.63758615972647,NA,NA,NA,NA,"+",15,-652.190219170994,1334.38043834199,303.314729927233,7.58243486101625e-67
-3.63970464034315,"+",NA,"+","+",NA,23,-659.782783672046,1366.8427732407,335.777064825946,6.77177048167625e-74
-3.0318782322815,NA,NA,"+","+",NA,20,-666.010073960178,1373.77606178662,342.710353371869,2.11425687512462e-75
-3.2149074232904,"+",NA,NA,"+",NA,22,-685.747013835041,1416.59772063258,385.532012217828,1.06304752363056e-84
-3.2312202541849,"+",NA,"+",NA,NA,6,-703.561169271782,1421.00843784816,389.942729433402,1.17159526051301e-85
-2.91143709162588,NA,NA,NA,"+",NA,19,-693.199230779015,1426.36698281106,395.301274396308,8.03867280200508e-87
-2.80633324971812,NA,NA,"+",NA,NA,3,-711.476493386227,1430.84701406351,399.781305648756,8.55771711110493e-88
-2.59931700096566,"+",NA,NA,NA,NA,4,-745.1192662108,1498.2385324216,467.172824006846,1.98827133398482e-102
-2.63244746035942,NA,NA,NA,NA,NA,1,-755.518727991665,1513.03745598333,481.971747568576,1.21599063610886e-105
