"(Intercept)","Len_bin","s(GEAR_DEPTH)","s(GEAR_TEMP, k = 4)","s(RLONG, RLAT)","Year","df","logLik","AIC","delta","weight"
-4.11986933552397,"+","+","+","+","+",47,-1251.14133889979,2597.46920701515,0,0.982727945612345
-4.04129449606866,"+","+",NA,"+","+",44,-1258.40903789657,2605.55180446799,8.08259745284113,0.0172710829314689
-4.3650350104567,"+",NA,"+","+","+",41,-1270.59617276288,2625.12336694143,27.65415992628,9.71423884551468e-07
-4.69759152621917,"+","+","+","+",NA,34,-1288.56100798861,2645.74751605277,48.2783090376165,3.22798643365794e-11
-4.68345398200758,"+","+",NA,"+",NA,30,-1300.14619896986,2660.42938779874,62.9601807835866,2.09316642151468e-14
-3.97503534644086,"+","+","+",NA,"+",25,-1309.70587955889,2670.25348301146,72.7842759963082,1.54002790026257e-16
-4.5190094866976,"+",NA,NA,"+","+",39,-1296.06060687546,2670.83164530331,73.362438288159,1.15340609595484e-16
-4.19536990079905,"+",NA,"+",NA,"+",19,-1320.97429145012,2679.95241577654,82.4832087613918,1.20623548056506e-18
-3.92167629155455,"+","+",NA,NA,"+",22,-1326.7908158991,2698.81991325736,101.350706242213,9.64732872840592e-23
-5.11142287506245,"+",NA,"+","+",NA,27,-1325.53878779546,2706.41962170486,108.95041468971,2.15849653464597e-24
-5.24976872510304,"+",NA,NA,"+",NA,24,-1343.36285550768,2735.96999569874,138.500788683586,8.2674042522661e-31
-4.36470995583677,"+",NA,NA,NA,"+",18,-1352.70281981432,2741.40563962865,143.936432613496,5.45800704267891e-32
-4.53192250937644,"+","+","+",NA,NA,11,-1362.85058589681,2749.17180247817,151.702595463022,1.12365569217475e-33
-4.52857126682955,"+","+",NA,NA,NA,8,-1371.79787191039,2760.6465095119,163.177302496755,3.62186520438617e-36
-4.85224208446552,"+",NA,"+",NA,NA,6,-1379.22500754662,2772.23277918012,174.76357216497,1.1040933438318e-38
-5.06259503302736,"+",NA,NA,NA,NA,4,-1400.05118529019,2808.10237058038,210.633163565227,1.79482861572458e-46
-0.839920349429035,NA,"+","+","+","+",45,-1431.89114056113,2953.7944647826,356.325257767454,4.14368468847179e-78
-0.767639268754605,NA,"+",NA,"+","+",41,-1439.08689146768,2961.43992212273,363.970715107581,9.06142986455728e-80
-1.45036192364541,NA,"+","+","+",NA,31,-1465.30701643541,2994.35517964737,396.885972632216,6.4526688339871e-87
-0.845366378753686,NA,NA,"+","+","+",39,-1465.57941184002,3010.58720160902,413.117994593868,1.9275275434764e-90
-1.43016424248977,NA,"+",NA,"+",NA,28,-1478.18993694661,3012.41577534936,414.94656833421,7.72557565858267e-91
-0.719751963294172,NA,"+","+",NA,"+",22,-1491.18012414065,3027.58491873501,430.115711719858,3.92638802269679e-94
-0.673391366724164,NA,"+",NA,NA,"+",19,-1504.07591287318,3047.52294029261,450.053733277465,1.8386829333957e-98
-0.627091751514052,NA,NA,"+",NA,"+",17,-1520.38616160152,3076.55382223373,479.084615218577,9.13126462949528e-105
-1.3779297526676,NA,"+","+",NA,NA,8,-1539.45032522347,3096.64195717962,499.172750164469,3.96686891720748e-109
-1.36328316847917,NA,"+",NA,NA,NA,5,-1547.5602332201,3106.31264803733,508.843441022178,3.15125836750718e-111
-1.36299623521214,NA,NA,"+","+",NA,25,-1532.25265706951,3114.56281903228,517.09361201713,5.09309929116175e-113
-0.60880320759519,NA,NA,NA,"+","+",37,-1524.39393003016,3122.925517523,525.456310507846,7.78117600293253e-115
-1.31522478115922,NA,NA,"+",NA,NA,3,-1580.22955836874,3168.35541971804,570.886212702888,1.0618601444067e-124
-0.470003629245714,NA,NA,NA,NA,"+",14,-1575.75817132797,3181.51634265595,584.0471356408,1.47302194186482e-127
-1.31134825877236,NA,NA,NA,"+",NA,22,-1571.02685038805,3187.49956268263,590.030355667476,7.39553327190539e-129
-1.25926398751179,NA,NA,NA,NA,NA,1,-1622.40147541279,3246.80295082557,649.333743810424,9.80397919437329e-142
