"Predator","Response","Gear_Temp","Length_Bin","Gear_Depth","Lat_Long","Year_"
"Arrowtooth flounder","Euphausiid  ",0.324571459678853,1,1,1,0.999999999987829
"Pacific cod","Euphausiid  ",0.345628296046129,0.874749905782988,0.999999467746402,1,1
"Walleye pollock","Euphausiid ",0.48782853894786,0.999999757388738,1,1,0.999999999999952
"Arrowtooth flounder","Walleye pollock",0.932760226128578,1,0.998026490438448,1,1
"Pacific halibut","Walleye pollock",0.999424853466282,1,0.99999999999994,1,0.369208728825648
"Pacific cod","Walleye pollock",0.999938295475167,1,0.945151543758129,1,0.999999995351086
"Arrowtooth flounder","Forage Fish",0.431441642377908,0.999999998693724,0.999653106743068,1,0.999974644166885
"Pacific halibut","Forage Fish",0.680700262253446,0.999999924153825,1,1,0.271635510047749
"Arrowtooth flounder","Pandalidae",0.739982437774604,0.999999634679435,1,1,0.999962525162621
"Pacific Cod","Pandalidae",0.895830300089037,1,1,1,0.999999999999996
"Walleye Pollock","Pandalidae",0.916231674798108,1,1,1,0.999999701092212
"Pacific Halibut","Tanner Crab",0.9999999908041,1,1,1,0.408433232364715
"Pacific Cod","Tanner Crab",0.736915017350116,1,1,1,0.99984871460014
