,Pred_name,Com_name,F,E,T,% Empty,min,max,Mean,+/-SD,year
1,Anoplopoma fimbria,sablefish,59,80,139,57.55395683,29,67,53.37288136,4.280970629,1999
2,Atheresthes stomias,arrowtooth flounder,499,536,1035,51.78743961,9,80,39.60521042,6.863018089,1999
3,Gadus chalcogrammus,walleye pollock,497,43,540,7.962962963,10,69,38.65794769,7.982082099,1999
4,Gadus macrocephalus,Pacific cod,453,1,454,0.220264317,14,104,53.98454746,7.188782276,1999
5,Hemitripterus bolini,bigmouth sculpin,1,0,1,0,64,64,64,NA,1999
6,Hippoglossoides elassodon,flathead sole,10,6,16,37.5,17,36,26.9,3.095247253,1999
7,Hippoglossus stenolepis,Pacific halibut,134,35,169,20.71005917,17,114,52.67164179,9.71661938,1999
8,Lepidopsetta bilineata,rock sole,63,43,106,40.56603774,15,50,34,3.729784219,1999
9,Lepidopsetta polyxystra,northern rock sole,36,21,57,36.84210526,17,41,28.69444444,3.093355655,1999
10,Limanda aspera,yellowfin sole,44,16,60,26.66666667,15,42,27.63636364,3.82630265,1999
11,Pleurogrammus monopterygius,Atka mackerel,13,18,31,58.06451613,37,51,47.15384615,1.800996875,1999
12,Sebastes borealis,shortraker rockfish,1,40,41,97.56097561,42,42,42,NA,1999
13,Sebastes zacentrus,sharpchin rockfish,6,0,6,0,19,27,23.66666667,1.538397435,1999
14,Albatrossia pectoralis,giant grenadier,17,8,25,32,27,35,31.41176471,1.076145081,2001
15,Anoplopoma fimbria,sablefish,284,64,348,18.3908046,23,90,59.61619718,4.872324444,2001
16,Atheresthes stomias,arrowtooth flounder,1359,424,1783,23.78014582,13,81,35.99926416,7.259154487,2001
17,Bathymaster signatus,searcher,11,0,11,0,23,29,26.09090909,1.082925331,2001
18,Bathyraja interrupta,sandpaper skate,3,0,3,0,42,70,51.66666667,7.942501705,2001
19,Bathyraja parmifera,Alaska skate,1,1,2,50,59,59,59,NA,2001
20,Dasycottus setiger,spinyhead sculpin,13,1,14,7.142857143,12,25,17.23076923,2.631174058,2001
21,Embassichthys bathybius,0,3,0,3,0,40,43,41.33333333,0.763762616,2001
22,Gadus chalcogrammus,walleye pollock,766,49,815,6.012269939,7,75,36.91775457,8.478419713,2001
23,Gadus macrocephalus,Pacific cod,803,35,838,4.176610979,9,92,49.46699875,8.350449752,2001
24,Glyptocephalus zachirus,Rex sole,41,1,42,2.380952381,24,50,34.53658537,3.294118928,2001
25,Hemilepidotus jordani,yellow Irish lord,2,0,2,0,30,38,34,2.828427125,2001
26,Hemitripterus bolini,bigmouth sculpin,2,1,3,33.33333333,20,75,47.5,19.44543648,2001
27,Hippoglossoides elassodon,flathead sole,16,15,31,48.38709677,30,51,37.75,3.013856887,2001
28,Hippoglossus stenolepis,Pacific halibut,808,81,889,9.11136108,13,126,56.59405941,11.13309215,2001
29,Isopsetta isolepis,butter sole,2,8,10,80,46,51,48.5,1.767766953,2001
30,Lepidopsetta bilineata,rock sole,29,4,33,12.12121212,19,43,31.31034483,3.657437257,2001
31,Lepidopsetta polyxystra,northern rock sole,29,2,31,6.451612903,17,40,29.13793103,3.353367545,2001
32,Leptocottus armatus,Pacific staghorn sculpin,1,0,1,0,28,28,28,NA,2001
33,Limanda aspera,yellowfin sole,2,0,2,0,38,42,40,1.414213562,2001
34,Liparis gibbus,variegated snailfish,1,0,1,0,53,53,53,NA,2001
35,Lumpenella longirostris,longsnout prickleback,5,1,6,16.66666667,28,33,30.4,1.151086443,2001
36,Lycodes beringi,Bering eelpout,1,0,1,0,24,24,24,NA,2001
37,Lycodes brevipes,shortfin eelpout,17,1,18,5.555555556,19,29,23.82352941,1.523106346,2001
38,Lycodes palearis,wattled eelpout,2,1,3,33.33333333,37,40,38.5,1.060660172,2001
39,Malacocottus zonurus,darkfin sculpin,16,1,17,5.882352941,7,12,8.5625,0.729583214,2001
40,Microstomus pacificus,Dover sole,35,3,38,7.894736842,34,60,43.4,2.491751097,2001
41,Myoxocephalus polyacanthocephalus,0,6,0,6,0,38,58,46.16666667,3.30781902,2001
42,Pleurogrammus monopterygius,Atka mackerel,28,2,30,6.666666667,28,51,39.89285714,3.235621429,2001
43,Protomyctophum thompsoni,bigeye lanternfish,3,0,3,0,10,11,10.66666667,0.288675135,2001
44,Raja binoculata,big skate,2,0,2,0,81,97,89,5.656854249,2001
45,Raja rhina,longnose skate,3,0,3,0,112,133,121.6666667,5.299371032,2001
46,Ronquilus jordani,0,1,0,1,0,16,16,16,NA,2001
47,Sebastes aleutianus,rougheye rockfish,25,11,36,30.55555556,16,78,34.84,6.741785125,2001
48,Sebastes alutus,Pacific ocean perch,39,11,50,22,10,40,29.61538462,4.934592428,2001
49,Sebastes babcocki,redbanded rockfish,3,1,4,25,20,22,21,0.5,2001
50,Sebastes borealis,shortraker rockfish,22,24,46,52.17391304,43,61,54,2.121320344,2001
51,Sebastes variabilis,0,1,0,1,0,39,39,39,NA,2001
52,Sebastes zacentrus,sharpchin rockfish,7,11,18,61.11111111,25,32,29,1.08012345,2001
53,Sebastolobus alascanus,0,27,14,41,34.14634146,15,39,23.59259259,2.477821854,2001
54,Squalus acanthias,spiny dogfish,1,0,1,0,72,72,72,NA,2001
55,Thaleichthys pacificus,eulachon,19,20,39,51.28205128,16,21,19.05263158,0.67646311,2001
56,Trichodon trichodon,0,2,0,2,0,15,16,15.5,0.353553391,2001
57,Coryphaenoides acrolepis,0,0,1,1,100,NA,NA,NA,NA,NA
58,Mallotus villosus,0,0,1,1,100,NA,NA,NA,NA,NA
59,Oncorhynchus keta,0,0,2,2,100,NA,NA,NA,NA,NA
60,Pleuronectes quadrituberculatus,0,0,3,3,100,NA,NA,NA,NA,NA
61,Podothecus acipenserinus,0,0,1,1,100,NA,NA,NA,NA,NA
62,Sebastes polyspinis,0,0,1,1,100,NA,NA,NA,NA,NA
63,Albatrossia pectoralis,giant grenadier,30,0,30,0,24,34,29.43333333,1.208328379,2003
64,Anoplopoma fimbria,sablefish,135,18,153,11.76470588,31,93,57.74814815,4.303208851,2003
65,Atheresthes stomias,arrowtooth flounder,463,156,619,25.20193861,12,83,38.08207343,6.863577927,2003
66,Bathyraja aleutica,Aleutian skate,16,2,18,11.11111111,58,88,76.5,4.179314138,2003
67,Bathyraja interrupta,sandpaper skate,6,0,6,0,31,56,40.83333333,5.517396729,2003
68,Bathyraja parmifera,Alaska skate,1,2,3,66.66666667,58,58,58,NA,2003
69,Gadus chalcogrammus,walleye pollock,631,11,642,1.713395639,14,70,44.43898574,6.177898425,2003
70,Gadus macrocephalus,Pacific cod,300,11,311,3.536977492,16,98,50.83333333,7.798661378,2003
71,Hippoglossus stenolepis,Pacific halibut,185,70,255,27.45098039,18,125,55.81621622,9.543646258,2003
72,Pleurogrammus monopterygius,Atka mackerel,47,10,57,17.54385965,28,47,36.78723404,1.693774311,2003
73,Raja binoculata,big skate,27,3,30,10,43,135,90.96296296,11.02748444,2003
74,Raja rhina,longnose skate,8,1,9,11.11111111,48,94,75.5,8.668497975,2003
75,Sebastolobus alascanus,0,6,4,10,40,8,46,25.5,6.904708538,2003
76,Albatrossia pectoralis,giant grenadier,102,23,125,18.4,17,40,26.6372549,2.389943054,2005
77,Anoplopoma fimbria,sablefish,111,21,132,15.90909091,31,93,61.33333333,6.330780985,2005
78,Atheresthes evermanni,Kamchatka flounder,1,0,1,0,55,55,55,NA,2005
79,Atheresthes stomias,arrowtooth flounder,233,95,328,28.96341463,10,81,41.87553648,7.587662297,2005
80,Bathyraja aleutica,Aleutian skate,16,1,17,5.882352941,39,84,62.375,6.647994685,2005
81,Bathyraja interrupta,sandpaper skate,12,2,14,14.28571429,23,53,40.41666667,4.058987409,2005
82,Gadus chalcogrammus,walleye pollock,285,29,314,9.23566879,12,66,38.75789474,7.799100184,2005
