"Prey_Name_Clean","TotalWt","N","PW","PN","Pred_common"
"Agonidae",17.261,10,0.00785594965768518,0.0740631017627018,"Arrowtooth flounder"
"Ammodytidae",5735.692,347,2.61046912716457,2.56998963116575,"Arrowtooth flounder"
"Amphipoda",2.25,3,0.00102403607727198,0.0222189305288105,"Arrowtooth flounder"
"Annelida",2.131,2,0.000969875946962929,0.0148126203525404,"Arrowtooth flounder"
"Anomura",33.437,23,0.0152180863625525,0.170345134054214,"Arrowtooth flounder"
"Anoplopoma fimbria",19.12,4,0.00870203102108457,0.0296252407050807,"Arrowtooth flounder"
"Appendicularia",5.468,9,0.00248863523134364,0.0666567915864316,"Arrowtooth flounder"
"Atheresthes stomias",2875.129,48,1.30854925458263,0.355502888460969,"Arrowtooth flounder"
"Bathylagidae",417.122,13,0.189843545166153,0.0962820322915124,"Arrowtooth flounder"
"Bivalvia",11.045,22,0.00502687932154179,0.162938823877944,"Arrowtooth flounder"
"Brachyura",13.7186,34,0.00624370725762818,0.251814545993186,"Arrowtooth flounder"
"Caprellidae",0.028,1,1.2743560072718e-05,0.00740631017627018,"Arrowtooth flounder"
"Caridea",579.0449,562,0.263539052426821,4.16234631906384,"Arrowtooth flounder"
"Cephalopoda",40.618,16,0.0184863543940593,0.118500962820323,"Arrowtooth flounder"
"Chaetognatha",11.603,34,0.00528084026870524,0.251814545993186,"Arrowtooth flounder"
"Chionoecetes bairdi",4.59,4,0.00208903359763484,0.0296252407050807,"Arrowtooth flounder"
"Chionoecetes sp.",2.856,2,0.00129984312741723,0.0148126203525404,"Arrowtooth flounder"
"Clupeoidei",14597.3477,235,6.64364918990363,1.74048289142349,"Arrowtooth flounder"
"Cnidaria",1,2,0.000455127145454214,0.0148126203525404,"Arrowtooth flounder"
"Copepoda",17.99445,48,0.00818976266251857,0.355502888460969,"Arrowtooth flounder"
"Cottidae",649.162,44,0.295451247997348,0.325877647755888,"Arrowtooth flounder"
"Crangonidae",396.3635,416,0.180395788317241,3.0810250333284,"Arrowtooth flounder"
"Crustacea",7.7891,62,0.00354503084865742,0.459191230928751,"Arrowtooth flounder"
"Cumacea",2.65,9,0.00120608693545367,0.0666567915864316,"Arrowtooth flounder"
"Cyclopteridae",18.5,4,0.00841985219090295,0.0296252407050807,"Arrowtooth flounder"
"Echinodermata",2.53,2,0.00115147167799916,0.0148126203525404,"Arrowtooth flounder"
"Euphausiacea",8172.03876,4003,3.71931667337999,29.6474596356095,"Arrowtooth flounder"
"Gadidae",5366.26101,326,2.44233105524355,2.41445711746408,"Arrowtooth flounder"
"Gadus chalcogrammus",132407.15279,1575,60.2620894870326,11.6649385276255,"Arrowtooth flounder"
"Gadus macrocephalus",2695.188,21,1.22665322090245,0.155532513701674,"Arrowtooth flounder"
"Gammaridea",21.6185,93,0.00983916619400192,0.688786846393127,"Arrowtooth flounder"
"Gastropod",2.331,3,0.00106090137605377,0.0222189305288105,"Arrowtooth flounder"
"Hippoglossoides elassodon",1055.925,17,0.480580131063741,0.125907272996593,"Arrowtooth flounder"
"Hippoglossus stenolepis",2.422,3,0.00110231794629011,0.0222189305288105,"Arrowtooth flounder"
"Hippolytidae",53.639,69,0.0244125649550186,0.511035402162643,"Arrowtooth flounder"
"Holothuroidea",28.37,1,0.012911957116536,0.00740631017627018,"Arrowtooth flounder"
"Hyperiidea",4.0329,57,0.0018354822649023,0.4221596800474,"Arrowtooth flounder"
"Invertebrate",3.516,10,0.00160022704341702,0.0740631017627018,"Arrowtooth flounder"
"Isopoda",4.5605,6,0.00207560734684394,0.0444378610576211,"Arrowtooth flounder"
"Lepidopsetta bilineata",0.05,1,2.27563572727107e-05,0.00740631017627018,"Arrowtooth flounder"
"Lepidopsetta polyxystra",1184.72,5,0.539198231762516,0.0370315508813509,"Arrowtooth flounder"
"Lepidopsetta sp.",890.61,14,0.405340787012977,0.103688342467783,"Arrowtooth flounder"
"Liminda aspera",2.1,1,0.000955767005453849,0.00740631017627018,"Arrowtooth flounder"
"Macrouridae",298.65,2,0.135923721989901,0.0148126203525404,"Arrowtooth flounder"
"Majidae",5.008,1,0.0022792767444347,0.00740631017627018,"Arrowtooth flounder"
"Mollusca",5.823,3,0.00265020536797989,0.0222189305288105,"Arrowtooth flounder"
"Myctophidae",103.325,12,0.0470260123040566,0.0888757221152422,"Arrowtooth flounder"
"Mysidacea",49.9409,90,0.0227294592584143,0.666567915864316,"Arrowtooth flounder"
"Non-teleost fish",4.61,2,0.00209813614054393,0.0148126203525404,"Arrowtooth flounder"
"Octopoda",9.35,3,0.0042554388099969,0.0222189305288105,"Arrowtooth flounder"
"Offal",1766.334,34,0.803906551338723,0.251814545993186,"Arrowtooth flounder"
"Ophiurida",10.125,5,0.00460816234772391,0.0370315508813509,"Arrowtooth flounder"
"Osmeridae",17405.0945,1318,7.92153097614583,9.7615168123241,"Arrowtooth flounder"
"Paguridae",10.366,8,0.00471784798977838,0.0592504814101615,"Arrowtooth flounder"
"Pandalidae",3810.84632,1267,1.73441960738629,9.38379499333432,"Arrowtooth flounder"
"Pleurogrammus monopterygius",1463.567,12,0.666109070890987,0.0888757221152422,"Arrowtooth flounder"
"Pleuronectiformes",3241.942,159,1.47549580818812,1.17760331802696,"Arrowtooth flounder"
