Pred_name,Com_nam,F,E,T,max,min,Fork length (cm)* Mean,#NAME?
Anoplopoma fimbria,sablefish,85,80,165,83,28,55.39393939,10.74408344
Atheresthes stomias,arrowtooth flounder,607,536,1143,80,9,40.80489939,13.02461272
Gadus chalcogrammus,walleye pollock,933,43,976,69,10,40.79610656,15.7319999
Gadus macrocephalus,Pacific cod,1579,1,1580,104,14,54.93481013,12.8109033
Hemitripterus bolini,bigmouth sculpin,1,NA,1,64,64,64,NA
Hippoglossoides elassodon,flathead sole,11,6,17,37,17,29.64705882,6.030559432
Hippoglossus stenolepis,Pacific halibut,308,35,343,114,17,53.48688047,19.55765887
Lepidopsetta bilineata,rock sole,162,43,205,50,15,35.81463415,6.771826041
Lepidopsetta polyxystra,northern rock sole,63,21,84,41,17,30.07142857,5.538008242
Limanda aspera,yellowfin sole,84,17,101,42,15,29.22772277,6.494430211
Pleurogrammus monopterygius,Atka mackerel,29,18,47,52,37,47.57446809,3.027013745
Sebastes borealis,shortraker rockfish,1,40,41,85,37,50.04878049,8.890869529
Sebastes zacentrus,sharpchin rockfish,17,NA,17,27,19,23.64705882,2.998774259
