,Pred_name,Com_nam,F,E,T,max,min,Fork length (cm)* Mean,#NAME?,
1,Albatrossia pectoralis,giant grenadier,24,8,32,35,26,31.15625,2.528666294,
2,Anoplopoma fimbria,sablefish,625,64,689,90,23,59.61393324,9.310636129,
3,Atheresthes stomias,arrowtooth flounder,1777,424,2201,82,13,37.45070423,14.83038805,
4,Bathymaster signatus,searcher,21,NA,21,29,23,26.28571429,2.216818828,
5,Bathyraja interrupta,sandpaper skate ,4,NA,4,70,42,49.5,13.67479433,
6,Bathyraja parmifera,Alaska skate,1,1,2,91,59,75,22.627417,
7,Dasycottus setiger,spinyhead sculpin,29,1,30,28,12,17.9,5.498275592,
8,Gadus chalcogrammus,walleye pollock,1562,50,1612,75,7,39.39640199,16.43321981,
9,Gadus macrocephalus,Pacific cod,2305,35,2340,92,9,52.36239316,15.38313167,
10,Glyptocephalus zachirus,Rex sole,177,1,178,50,24,36.24719101,5.003458462,
11,Hemilepidotus jordani,yellow Irish lord,4,NA,4,38,30,34,4.618802154,
12,Hemitripterus bolini,bigmouth sculpin,3,1,4,75,20,55.25,26.08160271,
13,Hippoglossoides elassodon,flathead sole,28,15,43,51,14,36.48837209,7.6138098,
14,Hippoglossus stenolepis,Pacific halibut,1824,81,1905,128,13,56.367979,21.52320722,
15,Isopsetta isolepis,butter sole,2,8,10,51,25,39.7,7.364328437,
16,Lepidopsetta bilineata,rock sole,71,4,75,47,19,31.25333333,7.716415169,
17,Lepidopsetta polyxystra,northern rock sole,92,2,94,40,17,29.40425532,6.947296448,
18,Leptocottus armatus,Pacific staghorn sculpin,3,NA,3,28,28,28,0,
19,Limanda aspera,yellowfin sole,3,NA,3,42,38,40.66666667,2.309401077,
20,Liparis gibbus,variegated snailfish,2,NA,2,53,53,53,0,weird that they were both 53
21,Lumpenella longirostris,longsnout prickleback,10,1,11,33,9,28.63636364,6.874194168,
22,Lycodes beringi,Bering eelpout,3,NA,3,24,24,24,0,All 24?
23,Lycodes brevipes,shortfin eelpout,18,1,19,29,19,23.94736842,2.971600471,
24,Lycodes palearis,wattled eelpout,2,1,3,42,37,39.66666667,2.516611478,
25,Malacocottus zonurus,darkfin sculpin,29,1,30,12,7,9.133333333,1.851994886,
26,Microstomus pacificus,Dover sole,101,3,104,60,34,44.61538462,5.128083145,
27,Pleurogrammus monopterygius,Atka mackerel,85,2,87,51,28,40.25287356,6.269561742,
28,Protomyctophum thompsoni,bigeye lanternfish,3,NA,3,11,10,10.66666667,0.577350269,
29,Raja binoculata,big skate,5,NA,5,97,81,87.4,8.76356092,
30,Raja rhina,longnose skate,6,NA,6,133,112,121.6666667,9.479803092,
31,Sebastes aleutianus,rougheye rockfish,43,11,54,78,16,36.46296296,11.03632589,
32,Sebastes alutus,Pacific ocean perch,109,11,120,40,9,31.75833333,8.326323382,
33,Sebastes babcocki,redbanded rockfish,5,1,6,23,20,21.33333333,1.032795559,
34,Sebastes borealis,shortraker rockfish,46,24,70,72,39,53.1,5.42177574,
35,Sebastes zacentrus,sharpchin rockfish,13,11,24,33,19,27.54166667,3.513689584,
36,Squalus acanthias,spiny dogfish,2,NA,2,72,72,72,0,Weird that they were both 72?
37,Thaleichthys pacificus,eulachon,21,20,41,21,7,16.85365854,3.758729676,
38,Coryphaenoides acrolepis,Pacific grenadier,NA,1,1,27,27,27,NA,
39,Mallotus villosus,capelin,NA,1,1,5,5,5,NA,
40,Oncorhynchus keta,chum salmon,NA,2,2,62,60,61,1.414213562,
41,Pleuronectes quadrituberculatus,Alaska plaice,NA,3,3,62,41,52.33333333,10.59874206,
42,Podothecus acipenserinus,sturgeon poacher,NA,1,1,23,23,23,NA,
43,Sebastes polyspinis,northern rockfish,NA,1,1,33,33,33,NA,
44,Embassichthys bathybius,NA,4,NA,4,43,40,41.25,1.258305739,
45,Myoxocephalus polyacanthocephalus,NA,6,NA,6,58,38,46.16666667,6.615638039,
46,Ronquilus jordani,NA,2,NA,2,16,16,16,0,
47,Sebastes variabilis,NA,4,NA,4,39,39,39,0,
48,Sebastolobus alascanus,NA,81,14,95,39,15,23.10526316,4.788002924,
49,Trichodon trichodon,NA,3,NA,3,16,15,15.66666667,0.577350269,
