Year,INPFC_AREA,Pacific cod,Walleye pollock,Arrowtooth flounder,Pacific halibut
1990,610,60,104,60,70
1990,620,371,280,454,135
1990,630,425,630,586,244
1990,640,46,45,43,18
1990,649,,,,
1990,650,,,,
1990,659,,,,
1993,610,282,222,234,148
1993,620,351,353,469,166
1993,630,402,446,531,195
1993,640,27,85,126,37
1993,649,,,,
1993,650,,,,
1993,659,,,,
1996,610,311,259,714,158
1996,620,163,141,689,97
1996,630,116,93,785,96
1996,640,,,,
1996,649,,,,
1996,650,,,,
1996,659,,,,
1999,610,167,111,206,38
1999,620,74,222,391,3
1999,630,213,192,438,128
1999,640,,,,
1999,649,,,,
1999,650,,,,
1999,659,,,,
2001,610,266,209,414,265
2001,620,164,257,519,295
2001,630,393,334,850,314
2001,640,,,,
2001,649,,,,
2001,650,,,,
2001,659,,,,
2003,610,195,188,180,98
2003,620,85,185,132,93
2003,630,26,195,157,40
2003,640,5,15,45,NA
2003,649,,,,
2003,650,NA,44,90,20
2003,659,,,,
2005,610,58,74,60,54
2005,620,46,53,75,43
2005,630,67,82,81,6
2005,640,3,43,49,NA
2005,649,,,,
2005,650,62,56,63,52
2005,659,15,6,NA,3
2007,610,218,262,323,238
2007,620,188,215,187,96
2007,630,138,169,132,200
2007,640,4,62,97,41
2007,649,,,,
2007,650,95,109,66,88
2007,659,2,15,12,13
2009,610,322,295,385,191
2009,620,234,263,246,202
2009,630,235,251,446,157
2009,640,7,71,78,33
2009,649,NA,NA,1,6
2009,650,58,191,141,62
2009,659,21,21,25,3
2011,610,290,261,329,172
2011,620,225,207,255,167
2011,630,350,406,467,218
2011,640,16,92,118,47
2011,649,,,,
2011,650,125,131,118,60
2011,659,1,NA,NA,5
2013,610,306,248,499,346
2013,620,232,213,374,349
2013,630,340,378,549,455
2013,640,22,139,215,110
2013,649,,,,
2013,650,79,140,154,99
2013,659,,,,
2015,610,184,265,432,249
2015,620,189,209,287,218
2015,630,449,379,589,360
2015,640,34,122,111,28
2015,649,NA,NA,NA,4
2015,650,98,134,153,79
2015,659,1,NA,NA,4
2017,610,172,190,294,148
2017,620,112,218,290,178
2017,630,245,337,518,302
2017,640,4,84,187,37
2017,649,,,,
2017,650,47,117,228,105
2017,659,2,NA,NA,19
2019,610,190,254,318,184
2019,620,169,264,323,177
2019,630,335,304,389,256
2019,640,8,54,68,20
2019,649,,,,
2019,650,58,57,72,41
2019,659,NA,NA,NA,3
2021,541,NA,10,NA,NA
2021,610,126,184,261,137
2021,620,131,195,218,126
2021,630,207,198,330,178
2021,640,28,99,128,26
2021,649,,,,
2021,650,83,98,113,89
2021,659,2,6,4,NA
