"Year","Pred_Species","Pred_common","n_stomachs"
1990,"Gadus macrocephalus","Pacific cod",916
1987,"Pleurogrammus monopterygius","Atka mackerel",8
1987,"Sebastes alutus","Pacific ocean perch",8
2009,"Anoplopoma fimbria","Sablefish",489
2009,"Glyptocephalus zachirus","Rex sole",397
2009,"Gadus macrocephalus","Pacific cod",888
2009,"Gadus chalcogrammus","Walleye pollock",1097
1987,"Sebastes aleutianus","Rougheye rockfish",16
1987,"Glyptocephalus zachirus","Rex sole",8
1987,"Microstomus pacificus","Dover sole",8
1981,"Gadus macrocephalus","Pacific cod",153
1987,"Sebastes borealis","Shortraker rockfish",12
1987,"Anoplopoma fimbria","Sablefish",47
1987,"Sebastes ciliatus","Dark rockfish",16
1987,"Gadus macrocephalus","Pacific cod",24
1987,"Sebastes polyspinis","Northern rockfish",16
1987,"Sebastolobus alascanus","Shortspine thornyhead",4
1987,"Albatrossia pectoralis","Giant grenadier",8
1993,"Gadus macrocephalus","Pacific cod",1082
1990,"Gadus chalcogrammus","Walleye pollock",1059
1993,"Gadus chalcogrammus","Walleye pollock",1126
1993,"Sebastes aleutianus","Rougheye rockfish",279
1990,"Sebastes aleutianus","Rougheye rockfish",141
1990,"Sebastes alutus","Pacific ocean perch",143
1981,"Sebastes alutus","Pacific ocean perch",201
1993,"Sebastes borealis","Shortraker rockfish",20
1990,"Sebastes ciliatus","Dark rockfish",41
1990,"Sebastes polyspinis","Northern rockfish",57
1990,"Sebastolobus alascanus","Shortspine thornyhead",120
1990,"Sebastes borealis","Shortraker rockfish",10
1993,"Sebastes zacentrus","Sharpchin rockfish",52
1990,"Atheresthes stomias","Arrowtooth flounder",1143
1990,"Anoplopoma fimbria","Sablefish",331
1993,"Anoplopoma fimbria","Sablefish",355
1993,"Sebastolobus alascanus","Shortspine thornyhead",213
1993,"Atheresthes stomias","Arrowtooth flounder",1375
1993,"Hippoglossus stenolepis","Pacific halibut",559
1993,"Hippoglossoides elassodon","Flathead sole",692
1990,"Hippoglossus stenolepis","Pacific halibut",467
1996,"Hippoglossus stenolepis","Pacific halibut",367
1996,"Zaprora silenus","Prowfish",18
1996,"Atheresthes stomias","Arrowtooth flounder",2218
1996,"Somniosus pacificus","Pacific sleeper shark",1
1996,"Gadus macrocephalus","Pacific cod",605
1996,"Gadus chalcogrammus","Walleye pollock",512
1996,"Pleurogrammus monopterygius","Atka mackerel",42
1996,"Anoplopoma fimbria","Sablefish",72
1996,"Lepidopsetta polyxystra","Northern rock sole",136
1996,"Lepidopsetta bilineata","Southern rock sole",120
1999,"Gadus chalcogrammus","Walleye pollock",540
1999,"Atheresthes stomias","Arrowtooth flounder",1035
1999,"Limanda aspera","Yellowfin sole",60
1999,"Gadus macrocephalus","Pacific cod",454
2001,"Gadus chalcogrammus","Walleye pollock",815
2001,"Gadus macrocephalus","Pacific cod",838
1999,"Anoplopoma fimbria","Sablefish",139
1999,"Sebastes borealis","Shortraker rockfish",41
1999,"Pleurogrammus monopterygius","Atka mackerel",31
1999,"Hippoglossus stenolepis","Pacific halibut",169
2001,"Anoplopoma fimbria","Sablefish",348
2001,"Atheresthes stomias","Arrowtooth flounder",1783
2001,"Hippoglossus stenolepis","Pacific halibut",889
2001,"Sebastes zacentrus","Sharpchin rockfish",18
1999,"Sebastes zacentrus","Sharpchin rockfish",6
1999,"Hemitripterus bolini","Bigmouth sculpin",1
2001,"Sebastes borealis","Shortraker rockfish",46
2001,"Pleurogrammus monopterygius","Atka mackerel",30
2001,"Lepidopsetta bilineata","Southern rock sole",33
2001,"Lepidopsetta polyxystra","Northern rock sole",31
2001,"Raja binoculata","Big skate",2
1999,"Hippoglossoides elassodon","Flathead sole",16
2001,"Glyptocephalus zachirus","Rex sole",42
2001,"Hippoglossoides elassodon","Flathead sole",31
1999,"Lepidopsetta polyxystra","Northern rock sole",57
2001,"Sebastolobus alascanus","Shortspine thornyhead",41
2001,"Sebastes aleutianus","Rougheye rockfish",36
2001,"Sebastes alutus","Pacific ocean perch",50
1999,"Lepidopsetta bilineata","Southern rock sole",106
2001,"Bathyraja interrupta","Sandpaper skate",3
2001,"Microstomus pacificus","Dover sole",38
2001,"Malacocottus zonurus","Darkfin sculpin",17
2001,"Leptocottus armatus","Pacific staghorn sculpin",1
2001,"Myoxocephalus polyacanthocephalus","Great sculpin",6
2001,"Liparis gibbus","Variegated snailfish",1
2001,"Trichodon trichodon","Pacific sandfish",2
2001,"Limanda aspera","Yellowfin sole",2
2001,"Pleuronectes quadrituberculatus","Alaska plaice",3
2001,"Squalus acanthias","Spiny dogfish",1
2001,"Raja rhina","Longnose Skate",3
2001,"Thaleichthys pacificus","Eulachon",39
2001,"Oncorhynchus keta","Chum salmon",2
2001,"Lycodes brevipes","Shortfin eelpout",18
2001,"Sebastes babcocki","Redbanded rockfish",4
2001,"Sebastes polyspinis","Northern rockfish",1
2001,"Sebastes variabilis","Dusky rockfish",1
2001,"Protomyctophum thompsoni","Bigeye lanternfish",3
2001,"Albatrossia pectoralis","Giant grenadier",25
2001,"Bathymaster signatus","Searcher",11
2001,"Dasycottus setiger","Spinyhead sculpin",14
2001,"Hemitripterus bolini","Bigmouth sculpin",3
2001,"Isopsetta isolepis","Butter sole",10
2001,"Podothecus acipenserinus","Sturgeon poacher",1
2001,"Lycodes palearis","Wattled eelpout",3
2001,"Hemilepidotus jordani","Yellow Irish lord",2
2001,"Ronquilus jordani","Northern ronquil",1
2001,"Embassichthys bathybius","Deepsea sole",3
2001,"Lycodes beringi","Black eelpout",1
2001,"Bathyraja parmifera","Alaska skate",2
2001,"Coryphaenoides acrolepis","Pacific grenadier",1
2001,"Lumpenella longirostris","Longsnout prickleback",6
2001,"Mallotus villosus","Capelin",1
2005,"Anoplopoma fimbria","Sablefish",132
2005,"Hippoglossus stenolepis","Pacific halibut",158
2005,"Atheresthes stomias","Arrowtooth flounder",328
2005,"Albatrossia pectoralis","Giant grenadier",125
2005,"Gadus macrocephalus","Pacific cod",261
2005,"Sebastes alutus","Pacific ocean perch",137
2005,"Raja binoculata","Big skate",9
2005,"Bathyraja interrupta","Sandpaper skate",14
2005,"Raja rhina","Longnose Skate",33
2005,"Atheresthes evermanni","Kamchatka flounder",1
2005,"Gadus chalcogrammus","Walleye pollock",314
2005,"Pleurogrammus monopterygius","Atka mackerel",11
2005,"Bathyraja aleutica","Aleutian skate",17
2005,"Sebastolobus alascanus","Shortspine thornyhead",103
2005,"Sebastes aleutianus","Rougheye rockfish",82
2005,"Sebastes borealis","Shortraker rockfish",14
2005,"Merluccius productus","Pacific hake",2
2003,"Atheresthes stomias","Arrowtooth flounder",619
2003,"Gadus chalcogrammus","Walleye pollock",642
2003,"Raja binoculata","Big skate",30
2003,"Bathyraja aleutica","Aleutian skate",18
2003,"Bathyraja parmifera","Alaska skate",3
2003,"Raja rhina","Longnose Skate",9
2003,"Bathyraja interrupta","Sandpaper skate",6
2003,"Hippoglossus stenolepis","Pacific halibut",255
2003,"Albatrossia pectoralis","Giant grenadier",30
2003,"Anoplopoma fimbria","Sablefish",153
2003,"Pleurogrammus monopterygius","Atka mackerel",57
2003,"Gadus macrocephalus","Pacific cod",311
2003,"Sebastolobus alascanus","Shortspine thornyhead",10
2007,"Atheresthes stomias","Arrowtooth flounder",817
2007,"Gadus macrocephalus","Pacific cod",648
2007,"Gadus chalcogrammus","Walleye pollock",832
2007,"Sebastes variegatus","Harlequin rockfish",15
2007,"Hippoglossus stenolepis","Pacific halibut",676
2007,"Sebastes babcocki","Redbanded rockfish",22
2007,"Sebastes ruberrimus","Yelloweye rockfish",3
2007,"Sebastes variabilis","Dusky rockfish",42
2007,"Anoplopoma fimbria","Sablefish",319
2007,"Bathyraja trachura","Roughtail skate",1
2007,"Bathyraja interrupta","Sandpaper skate",13
2007,"Raja rhina","Longnose Skate",11
2007,"Pleurogrammus monopterygius","Atka mackerel",42
2007,"Trichodon trichodon","Pacific sandfish",7
2007,"Bathyraja parmifera","Alaska skate",8
2007,"Ophiodon elongatus","Lingcod",22
2007,"Bathyraja aleutica","Aleutian skate",13
2007,"Raja binoculata","Big skate",22
2007,"Sebastes brevispinis","Silvergray rockfish",13
