"Year","Pacific cod","Atka mackerel","Pacific ocean perch","Sablefish","Rex sole","Walleye pollock","Rougheye rockfish","Dover sole","Shortraker rockfish","Dark rockfish","Northern rockfish","Shortspine thornyhead","Giant grenadier","Sharpchin rockfish","Arrowtooth flounder","Pacific halibut","Flathead sole","Prowfish","Pacific sleeper shark","Northern rock sole","Southern rock sole","Yellowfin sole","Bigmouth sculpin","Big skate","Sandpaper skate","Darkfin sculpin","Pacific staghorn sculpin","Great sculpin","Variegated snailfish","Pacific sandfish","Alaska plaice","Spiny dogfish","Longnose Skate","Eulachon","Chum salmon","Shortfin eelpout","Redbanded rockfish","Dusky rockfish","Bigeye lanternfish","Searcher","Spinyhead sculpin","Butter sole","Sturgeon poacher","Wattled eelpout","Yellow Irish lord","Northern ronquil","Deepsea sole","Black eelpout","Alaska skate","Pacific grenadier","Longsnout prickleback","Capelin","Kamchatka flounder","Aleutian skate","Pacific hake","Harlequin rockfish","Yelloweye rockfish","Roughtail skate","Lingcod","Silvergray rockfish","Redstripe rockfish","Chinook salmon","common","Deepsea skate","Rosethorn rockfish","English sole","Starry flounder","Kelp greenling","Popeye grenadier","Slender sole","Sand sole","Pink salmon","Sockeye salmon","Plain sculpin","Dolly Varden","Coho salmon","Petrale Sole","Humpback snailfish","Yellowtail rockfish","Pacific herring","Darkblotched rockfish"
1990,916,NA,143,331,NA,1059,141,NA,10,41,57,120,NA,NA,1143,467,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,24,8,8,47,8,NA,16,8,12,16,16,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,888,51,86,489,397,1097,40,228,7,2,11,37,5,11,1322,654,308,NA,NA,126,217,40,NA,34,10,NA,NA,NA,NA,2,27,24,29,NA,4,NA,23,29,NA,NA,NA,41,NA,NA,65,NA,7,NA,4,37,NA,NA,NA,11,46,5,4,NA,31,1,NA,NA,20,1,3,70,27,21,5,14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,153,NA,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,1082,NA,NA,355,NA,1126,279,NA,20,NA,NA,213,NA,52,1375,559,692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,605,42,NA,72,NA,512,NA,NA,NA,NA,NA,NA,NA,NA,2218,367,NA,18,1,136,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,454,31,NA,139,NA,540,NA,NA,41,NA,NA,NA,NA,6,1035,169,16,NA,NA,57,106,60,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,838,30,50,348,42,815,36,38,46,NA,1,41,25,18,1783,889,31,NA,NA,31,33,2,3,2,3,17,1,6,1,2,3,1,3,39,2,18,4,1,3,11,14,10,1,3,2,1,3,1,2,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,261,11,137,132,NA,314,82,NA,14,NA,NA,103,125,NA,328,158,NA,NA,NA,NA,NA,NA,NA,9,14,NA,NA,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,17,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,311,57,NA,153,NA,642,NA,NA,NA,NA,NA,10,30,NA,619,255,NA,NA,NA,NA,NA,NA,NA,30,6,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
