Pred_common,Prey_Name_Clean,Len_bin,NStomachs,Percent_Occur,Percent_Weight
Arrowtooth flounder,Gadus chalcogrammus,"(60,80]",267,43.77,79.73
Arrowtooth flounder,Gadus chalcogrammus,"(80,280]",4,57.14,76.62
Pacific cod,Gadus chalcogrammus,"(80,280]",91,48.4,61.07
Pacific halibut,Gadus chalcogrammus,"(80,280]",478,42.87,55.01
Arrowtooth flounder,Gadus chalcogrammus,"(40,60]",936,19.5,52.11
Walleye pollock,Euphausiacea,"(40,60]",4913,69.99,46.1
Walleye pollock,Euphausiacea,"(20,40]",1511,62.52,45.85
Walleye pollock,Euphausiacea,"(0,20]",855,47.9,42.31
Pacific halibut,Paguridae,"(20,40]",813,68.9,41.74
Walleye pollock,Euphausiacea,"(60,80]",574,71.39,39.23
Arrowtooth flounder,Gadus chalcogrammus,"(20,40]",312,6.84,34.39
Pacific halibut,Gadus chalcogrammus,"(60,80]",463,18.11,33.76
Arrowtooth flounder,Euphausiacea,"(0,20]",479,58.99,32.58
Pacific halibut,Paguridae,"(0,20]",41,46.59,31.01
Walleye pollock,Copepoda,"(0,20]",926,51.88,30.09
Pacific cod,Gadus chalcogrammus,"(60,80]",387,12.63,29.44
Pacific halibut,Crangonidae,"(0,20]",24,27.27,27.23
Arrowtooth flounder,Osmeridae,"(0,20]",73,8.99,27.1
Arrowtooth flounder,Osmeridae,"(20,40]",564,12.37,23.24
Pacific halibut,Paguridae,"(40,60]",1260,52.04,21.36
Arrowtooth flounder,Atheresthes stomias,"(80,280]",1,14.29,20.6
Pacific halibut,Brachyura,"(0,20]",16,18.18,15.32
Pacific cod,Pandalidae,"(60,80]",1036,33.8,7.79
Pacific cod,Gammaridea,"(0,20]",179,48.12,13.09
Pacific cod,Paguridae,"(0,20]",42,11.29,12.63
Pacific cod,Pandalidae,"(40,60]",1589,29.66,12.57
Pacific cod,Osmeridae,"(0,20]",6,1.61,12.03
Walleye pollock,Pandalidae,"(60,80]",170,21.14,13.44
Pacific cod,Chionoecetes bairdi,"(40,60]",1084,20.23,11.74
Pacific cod,Crangonidae,"(20,40]",542,29.88,11.7
Pacific halibut,Majidae,"(40,60]",566,23.38,11.68
Arrowtooth flounder,Clupeoidei,"(40,60]",188,3.92,11.25
Pacific cod,Euphausiacea,"(0,20]",81,21.77,11.18
Pacific halibut,Gadus chalcogrammus,"(40,60]",151,6.24,11.14
Pacific cod,Paguridae,"(20,40]",298,16.43,10.93
Arrowtooth flounder,Teleostei unid,"(0,20]",127,15.64,10.68
Walleye pollock,Osmeridae,"(20,40]",63,2.61,10.2
Pacific cod,Chionoecetes bairdi,"(60,80]",658,21.47,9.9
Walleye pollock,Copepoda,"(20,40]",914,37.82,9.89
Arrowtooth flounder,Osmeridae,"(40,60]",604,12.58,9.78
Arrowtooth flounder,Euphausiacea,"(20,40]",1877,41.16,9.68
Arrowtooth flounder,Teleostei unid,"(20,40]",755,16.56,8.85
Arrowtooth flounder,Pandalidae,"(20,40]",639,14.01,6.49
Pacific halibut,Chionoecetes bairdi,"(60,80]",442,17.29,8.54
Pacific halibut,Majidae,"(60,80]",561,21.94,8.52
Walleye pollock,Gadus chalcogrammus,"(60,80]",27,3.36,8.47
Pacific cod,Pleurogrammus monopterygius,"(80,280]",10,5.32,8.47
Pacific cod,Polychaeta,"(20,40]",667,36.77,8.34
Pacific halibut,Ammodytidae,"(20,40]",87,7.37,8.11
Walleye pollock,Osmeridae,"(60,80]",31,3.86,7.9
Walleye pollock,Pandalidae,"(40,60]",967,13.77,11.77
Pacific cod,Euphausiacea,"(20,40]",322,17.75,7.71
Pacific halibut,Ammodytidae,"(40,60]",181,7.48,7.3
Pacific halibut,Chionoecetes bairdi,"(40,60]",372,15.37,7.21
Pacific halibut,Brachyura,"(20,40]",245,20.76,7.15
Walleye pollock,Osmeridae,"(40,60]",223,3.18,6.54
Pacific cod,Brachyura,"(0,20]",47,12.63,6.51
